team_id,season_id,position,played,wins,draws,losses,goals_for,goals_against,points,clean_sheets,goal_difference
26,42,1,0,0,0,0,0,0,0,0,0
1,42,2,0,0,0,0,0,0,0,0,0
21,42,3,0,0,0,0,0,0,0,0,0
11,42,4,0,0,0,0,0,0,0,0,0
12,42,5,0,0,0,0,0,0,0,0,0
20,42,6,0,0,0,0,0,0,0,0,0
25,42,7,0,0,0,0,0,0,0,0,0
10,42,8,0,0,0,0,0,0,0,0,0
42,42,9,0,0,0,0,0,0,0,0,0
4,42,10,0,0,0,0,0,0,0,0,0
7,42,11,0,0,0,0,0,0,0,0,0
45,42,12,0,0,0,0,0,0,0,0,0
33,42,13,0,0,0,0,0,0,0,0,0
36,42,14,0,0,0,0,0,0,0,0,0
6,42,15,0,0,0,0,0,0,0,0,0
127,42,16,0,0,0,0,0,0,0,0,0
29,42,17,0,0,0,0,0,0,0,0,0
23,42,18,0,0,0,0,0,0,0,0,0
14,42,19,0,0,0,0,0,0,0,0,0
2,42,20,0,0,0,0,0,0,0,0,0
