player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Emiliano Martínez,ar ARG,30-057,34,1,,1,,0.1,2,8,25.0,9,,55.6,39.3,4,75.0,51.5,2,,,,
Robin Olsen,se SWE,32-294,56,6,4,2,50.0,3.2,1,19,5.3,18,3,77.8,54.7,5,100.0,66.4,9,1,11.1,0,5.0
