date_GMT,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,home_goal_0_9,home_goal_10_19,home_goal_20_29,home_goal_30_39,home_goal_40_49,home_goal_50_59,home_goal_60_69,home_goal_70_79,home_goal_80_89,home_goal_90_99,home_goal_100_plus,away_goal_0_9,away_goal_10_19,away_goal_20_29,away_goal_30_39,away_goal_40_49,away_goal_50_59,away_goal_60_69,away_goal_70_79,away_goal_80_89,away_goal_90_99,away_goal_100_plus,home_result,away_result
Aug 11 2017 - 6:45pm,Arsenal,Leicester City,0.0,0.0,2.47,1.05,4,3,7,4,2,2,9,4,0,0,1,0,0,0,0,1,20,7,11,4,9,3,9,12,70,30,0.0,0.0,2.69,1.17,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.38,5.19,8.92,1.17,1.6,2.35,4.0,1.75,2.0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,win,lose
Aug 12 2017 - 11:30am,Watford,Liverpool,0.0,0.0,1.42,1.68,3,3,6,3,2,1,3,3,0,0,3,0,0,0,1,2,9,14,5,6,4,8,14,8,45,55,0.0,0.0,1.31,1.73,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.75,4.15,1.63,1.24,1.93,2.85,5.5,1.95,1.8,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,draw,draw
Aug 12 2017 - 2:00pm,Chelsea,Burnley,0.0,0.0,1.95,1.47,2,3,5,3,0,3,8,5,4,2,3,0,3,3,0,3,13,10,7,6,6,4,16,11,61,39,0.0,0.0,1.76,1.34,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.21,7.04,9.99,1.18,1.8,2.35,3.9,2.25,1.57,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,lose,win
Aug 12 2017 - 2:00pm,Crystal Palace,Huddersfield Town,0.0,0.0,1.37,0.74,0,3,3,2,0,2,12,9,1,0,3,0,0,1,1,2,12,10,5,7,7,3,7,19,56,44,0.0,0.0,1.7,1.62,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.82,3.61,4.91,1.38,2.08,4.0,9.0,1.91,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,lose,win
Aug 12 2017 - 2:00pm,Everton,Stoke City,0.0,0.0,1.79,0.68,1,0,1,1,1,0,6,7,1,0,1,0,0,1,1,0,8,8,5,2,3,6,13,10,61,39,0.0,0.0,1.28,1.11,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.74,3.96,4.94,1.26,2.15,3.0,5.9,2.0,1.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,win,lose
Aug 12 2017 - 2:00pm,Southampton,Swansea City,0.0,0.0,1.0,0.63,0,0,0,0,0,0,13,0,2,0,1,0,2,0,0,1,19,3,3,0,16,3,10,13,59,41,0.0,0.0,2.15,0.49,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.75,3.82,5.06,1.3,1.95,3.3,6.6,1.95,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,draw
Aug 12 2017 - 2:00pm,West Bromwich Albion,AFC Bournemouth,0.0,0.0,0.95,0.95,1,0,1,1,1,0,8,2,3,0,1,0,1,2,0,1,16,5,7,3,9,2,15,3,28,72,0.0,0.0,1.99,1.07,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.3,3.37,3.35,1.32,2.15,3.55,8.0,1.91,1.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,lose
Aug 12 2017 - 4:30pm,Brighton & Hove Albion,Manchester City,0.0,0.0,1.53,2.63,0,2,2,0,0,0,3,10,0,0,2,0,0,0,1,1,5,10,3,5,2,5,6,9,21,79,0.0,0.0,0.75,1.61,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.09,4.98,1.42,1.2,1.53,2.5,4.5,1.95,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,lose,win
Aug 13 2017 - 12:30pm,Newcastle United,Tottenham Hotspur,0.0,0.0,1.47,1.79,0,2,2,0,0,0,5,7,1,1,2,0,0,2,1,1,7,12,3,7,4,5,6,10,26,74,0.0,0.0,1.06,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.79,3.84,1.78,1.25,1.8,3.0,5.75,1.7,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,lose,win
Aug 13 2017 - 3:00pm,Manchester United,West Ham United,0.0,0.0,2.47,0.79,4,0,4,1,1,0,11,1,2,0,2,0,1,1,0,2,14,8,6,2,8,6,19,7,55,45,0.0,0.0,1.93,1.04,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.28,5.76,9.99,1.22,1.67,2.75,5.25,2.1,1.67,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,win,lose
Aug 19 2017 - 11:30am,Swansea City,Manchester United,0.0,0.0,1.11,1.79,0,4,4,1,0,1,3,5,1,0,1,0,0,1,1,0,6,15,0,9,6,6,12,11,41,59,0.0,0.0,0.68,2.01,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.99,5.1,1.38,1.28,1.9,3.1,5.25,2.25,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,lose,win
