team_id,season_id,position,played,wins,draws,losses,goals_for,goals_against,points,clean_sheets,goal_difference
12,21,1,0,0,0,0,0,0,0,0,0
11,21,2,0,0,0,0,0,0,0,0,0
4,21,3,0,0,0,0,0,0,0,0,0
1,21,4,0,0,0,0,0,0,0,0,0
21,21,5,0,0,0,0,0,0,0,0,0
7,21,6,0,0,0,0,0,0,0,0,0
10,21,7,0,0,0,0,0,0,0,0,0
36,21,8,0,0,0,0,0,0,0,0,0
45,21,9,0,0,0,0,0,0,0,0,0
25,21,10,0,0,0,0,0,0,0,0,0
14,21,11,0,0,0,0,0,0,0,0,0
34,21,12,0,0,0,0,0,0,0,0,0
42,21,13,0,0,0,0,0,0,0,0,0
20,21,14,0,0,0,0,0,0,0,0,0
2,21,15,0,0,0,0,0,0,0,0,0
23,21,16,0,0,0,0,0,0,0,0,0
29,21,17,0,0,0,0,0,0,0,0,0
39,21,18,0,0,0,0,0,0,0,0,0
40,21,19,0,0,0,0,0,0,0,0,0
17,21,20,0,0,0,0,0,0,0,0,0
