date_GMT,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,home_goal_0_9,home_goal_10_19,home_goal_20_29,home_goal_30_39,home_goal_40_49,home_goal_50_59,home_goal_60_69,home_goal_70_79,home_goal_80_89,home_goal_90_99,home_goal_100_plus,away_goal_0_9,away_goal_10_19,away_goal_20_29,away_goal_30_39,away_goal_40_49,away_goal_50_59,away_goal_60_69,away_goal_70_79,away_goal_80_89,away_goal_90_99,away_goal_100_plus,home_result,away_result
Aug 13 2021 - 7:00pm,Brentford,Arsenal,0.0,0.0,1.26,1.47,2,0,2,1,1,0,2,5,0,0,0,0,0,0,0,0,9,23,4,5,5,18,12,8,35,65,0.0,0.0,1.04,2.35,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.9,3.4,2.05,1.43,2.2,3.75,7.25,1.95,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,lose
Aug 14 2021 - 11:30am,Manchester United,Leeds United,0.0,0.0,1.84,1.05,5,1,6,1,1,0,5,4,1,0,2,0,0,1,0,2,17,11,9,4,8,7,11,9,49,51,0.0,0.0,1.93,1.23,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.62,4.15,5.25,1.25,1.69,2.6,4.55,1.71,2.25,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,win,lose
Aug 14 2021 - 2:00pm,Burnley,Brighton & Hove Albion,0.0,0.0,1.11,1.53,1,2,3,1,1,0,7,6,2,0,1,0,2,0,1,0,12,14,4,7,8,7,7,6,36,64,0.0,0.0,1.36,1.68,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.2,3.0,2.31,1.43,2.35,4.4,8.25,2.1,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,lose,win
Aug 14 2021 - 2:00pm,Chelsea,Crystal Palace,0.0,0.0,1.79,1.0,3,0,3,2,2,0,5,2,0,0,0,0,0,0,0,0,14,4,7,2,7,2,14,10,62,38,0.0,0.0,1.97,0.52,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.27,5.4,9.4,1.4,1.67,2.59,7.75,2.65,1.54,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,lose
Aug 14 2021 - 2:00pm,Everton,Southampton,0.0,0.0,1.53,0.79,3,1,4,1,0,1,6,8,2,0,0,0,1,1,0,0,13,6,6,4,7,2,11,14,48,52,0.0,0.0,1.56,0.99,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.84,3.65,3.85,1.47,1.85,3.2,8.0,2.1,1.83,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,win,lose
Aug 14 2021 - 2:00pm,Leicester City,Wolverhampton Wanderers,0.0,0.0,1.79,1.42,1,0,1,1,1,0,5,4,1,0,2,0,0,1,0,2,12,16,8,5,4,11,6,8,56,44,0.0,0.0,1.57,1.59,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.57,3.8,5.6,1.33,1.95,3.85,7.5,2.15,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,lose
Aug 14 2021 - 2:00pm,Watford,Aston Villa,0.0,0.0,0.42,1.16,3,2,5,2,2,0,2,4,3,0,1,0,1,2,0,1,12,12,7,3,5,9,17,13,38,62,0.0,0.0,1.43,1.31,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.3,3.45,2.06,1.36,1.95,3.3,6.75,1.91,2.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,win,lose
Aug 14 2021 - 4:30pm,Norwich City,Liverpool,0.0,0.0,0.63,2.26,0,3,3,1,0,1,3,11,1,0,1,0,0,1,1,0,13,20,3,9,10,11,4,15,50,50,0.0,0.0,1.32,2.38,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.75,5.25,1.4,1.22,1.59,2.4,4.25,1.87,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,lose,win
Aug 15 2021 - 1:00pm,Newcastle United,West Ham United,0.0,0.0,1.58,1.26,2,4,6,3,2,1,7,6,1,0,0,0,0,1,0,0,18,19,4,10,14,9,4,4,46,54,0.0,0.0,1.77,2.33,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.3,3.5,2.2,1.33,1.91,3.1,6.0,1.77,2.2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,lose,win
Aug 15 2021 - 3:30pm,Tottenham Hotspur,Manchester City,0.0,0.0,2.11,2.42,1,0,1,0,0,0,3,11,2,0,1,0,0,2,0,1,14,19,3,5,11,14,11,8,34,66,0.0,0.0,1.29,2.03,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.75,4.0,1.62,1.33,1.95,3.2,6.25,2.05,1.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,lose
