player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Edouard Mendy,sn SEN,29-083,45,2,1,1,50.0,1.0,,,,10,4,,19.0,3,0.0,7.7,3,,,,
Kepa Arrizabalaga,es ESP,26-232,45,1,1,0,100.0,0.9,1,4,25.0,9,0,33.3,30.7,1,100.0,48.0,1,0,0.0,0,
