team_id,season_id,position,played,wins,draws,losses,goals_for,goals_against,points,clean_sheets,goal_difference
11,22,1,0,0,0,0,0,0,0,0,0
10,22,2,0,0,0,0,0,0,0,0,0
4,22,3,0,0,0,0,0,0,0,0,0
1,22,4,0,0,0,0,0,0,0,0,0
7,22,5,0,0,0,0,0,0,0,0,0
21,22,6,0,0,0,0,0,0,0,0,0
12,22,7,0,0,0,0,0,0,0,0,0
20,22,8,0,0,0,0,0,0,0,0,0
42,22,9,0,0,0,0,0,0,0,0,0
23,22,10,0,0,0,0,0,0,0,0,0
6,22,11,0,0,0,0,0,0,0,0,0
45,22,12,0,0,0,0,0,0,0,0,0
25,22,13,0,0,0,0,0,0,0,0,0
29,22,14,0,0,0,0,0,0,0,0,0
2,22,15,0,0,0,0,0,0,0,0,0
41,22,16,0,0,0,0,0,0,0,0,0
36,22,17,0,0,0,0,0,0,0,0,0
14,22,18,0,0,0,0,0,0,0,0,0
34,22,19,0,0,0,0,0,0,0,0,0
46,22,20,0,0,0,0,0,0,0,0,0
