player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Thomas Kaminski,be BEL,31-209,75,6,4,2,33.3,1.7,5,7,71.4,20,4,30.0,34.2,5,20.0,21.2,8,,,4,39.8
James Shea,eng ENG,32-338,15,2,0,2,100.0,0.1,3,6,50.0,6,1,83.3,50.8,3,33.3,37.3,3,0,0.0,1,19.0
