player_id,name,position,nationality
3807,Scott Dann,D,England
2531,Danny Graham,F,England
4406,Darnel Situ,D,France
2523,David Jones,D,England
4100,David Luiz,D,Brazil
4293,Adam Davies,G,Wales
4285,Ulises Dávila,M,Mexico
2080,Sean Davis,M,England
4360,Josh Dawkin,M,Wales
3515,Simon Dawkins,M,Jamaica
4389,Lucas Dawson,M,England
4288,Kevin De Bruyne,M,Belgium
4330,David de Gea,G,Spain
3659,Nigel de Jong,M,Netherlands
3666,Ritchie De Laet,D,Belgium
4449,Dorus de Vries,G,Netherlands
4041,Roarie Deacon,M,England
1526,Jermain Defoe,F,England
3643,Philipp Degen,D,Switzerland
4098,Matej Delac,G,Croatia
1391,Rory Delap,M,Ireland
3566,Nathan Delfouneso,F,England
3799,Fabian Delph,M,England
4123,Mousa Dembélé,M,Belgium
3121,Clint Dempsey,F,United States
3053,Denilson,M,Brazil
2823,Shaun Derry,M,England
3366,Franco Di Santo,F,Argentina
4377,Samba Diakité,M,Mali
3982,Mohamed Diamé,M,Senegal
2285,Salif Diao,M,Senegal
4304,Mahamadou Diarra,M,Mali
4446,Nouha Dicko,F,Mali
4112,Eric Dier,D,England
2289,El Hadji Diouf,M,Senegal
2125,Sylvain Distin,D,France
2861,DJ Campbell,F,England
2609,Johan Djourou,D,Switzerland
4422,Stephen Dobbie,F,Scotland
4229,Matt Doherty,D,Ireland
3691,Ryan Donaldson,M,England
3873,Tom Donegan,M,England
4312,Doni,G,Brazil
4417,Scott Donnelly,M,England
4020,Landon Donovan,M,United States
3746,Graham Dorrans,M,Scotland
3729,Giovani dos Santos,M,Mexico
4378,Michael Doughty,M,England
2122,Stewart Downing,M,England
3205,Kevin Doyle,F,Ireland
4294,Royston Drenthe,M,Netherlands
3670,Danny Drinkwater,M,England
2662,Didier Drogba,F,Cote D’Ivoire
2765,Adam Drury,D,England
1004,Damien Duff,M,Ireland
3601,Shane Duffy,D,Ireland
4340,Paul Dummett,D,Wales
1337,David Dunn,M,England
1184,Richard Dunne,D,Ireland
1740,Kieron Dyer,M,England
4151,Edin Dzeko,F,Bosnia & Herzegovina
2524,Chris Eagles,M,England
3317,Craig Eastmond,M,England
4097,Tom Eaves,F,England
2746,Sylvan Ebanks-Blake,F,England
4231,Ethan Ebanks-Landell,D,England
3651,Nathan Eccleston,F,England
4177,Jóan Símun Edmundsson,M,Faroe Islands
4266,Ryan Edwards,D,England
4394,John Egan,D,Ireland
4374,Max Ehmer,D,Germany
4253,Thomas Eisfeld,M,Germany
3132,Nabil El Zhar,M,Morocco
4206,Lateef Elford-Alliyu,F,Nigeria
2214,Robert Elliot,G,Ireland
3987,George Elokobi,D,Cameroon
2434,Brett Emerton,M,Australia
2612,Emmanuel Eboué,D,Cote D’Ivoire
3020,Hogan Ephraim,M,England
2890,Michael Essien,M,Ghana
4120,Neil Etheridge,G,Philippines
1772,Matthew Etherington,M,England
1932,Dickson Etuhu,M,Nigeria
3156,Jonny Evans,D,Northern Ireland
2934,Patrice Evra,D,France
3309,Lukasz Fabianski,G,Poland
3665,Fábio,D,Brazil
3126,Fábio Aurélio,D,Brazil
2417,Cesc Fàbregas,M,Spain
4429,Iago Falque,F,Spain
4383,Alejandro Faurlin,M,Argentina
3604,Marouane Fellaini,M,Belgium
3875,Femi Orenuga,M,England
1111,Rio Ferdinand,D,England
4167,Shane Ferguson,M,Northern Ireland
3524,Maynor Figueroa,D,Honduras
4129,Jon Flanagan,D,England
1943,Darren Fletcher,M,Scotland
3993,Kevin Foley,D,Ireland
4451,Anthony Forde,M,Ireland
4056,Mauro Formica,M,Argentina
3877,Adam Forshaw,M,England
3170,Fraser Forster,G,England
3754,Marc-Antoine Fortuné,F,France
2932,Ben Foster,G,England
2521,David Fox,M,England
4295,Francisco Júnior,M,Guinea-Bissau
4352,George Francomb,D,England
3958,Ryan Fredericks,D,England
