team_id,season_id,wins,draws,losses,goals_scored,goals_conceded,points,position_in_table,matches_played
11,578,0,0,0,0,0,0,1,0
1,578,0,0,0,0,0,0,2,0
10,578,0,0,0,0,0,0,3,0
2,578,0,0,0,0,0,0,4,0
21,578,0,0,0,0,0,0,5,0
4,578,0,0,0,0,0,0,6,0
23,578,0,0,0,0,0,0,7,0
12,578,0,0,0,0,0,0,8,0
25,578,0,0,0,0,0,0,9,0
6,578,0,0,0,0,0,0,10,0
131,578,0,0,0,0,0,0,11,0
127,578,0,0,0,0,0,0,12,0
34,578,0,0,0,0,0,0,13,0
38,578,0,0,0,0,0,0,14,0
7,578,0,0,0,0,0,0,15,0
130,578,0,0,0,0,0,0,16,0
15,578,0,0,0,0,0,0,17,0
163,578,0,0,0,0,0,0,18,0
43,578,0,0,0,0,0,0,19,0
18,578,0,0,0,0,0,0,20,0
