player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won
Darwin Núñez,9,uy URU,FW,25-125,90,0,1,0,0,0,0,1,0,24,1,0,0,0.0,0.0,0.3,2,1,13,18,72.2,2,14,0,3,2
Luis Díaz,7,co COL,LW,27-288,62,0,1,0,0,0,0,0,0,27,3,1,1,0.0,0.0,0.3,1,1,11,14,78.6,0,14,1,5,2
Cody Gakpo,18,nl NED,LW,25-173,28,0,0,0,0,0,0,0,0,22,0,1,0,0.0,0.0,0.0,1,0,13,19,68.4,1,16,1,1,1
Mohamed Salah,11,eg EGY,RW,32-134,90,1,0,0,0,3,2,0,0,42,0,0,0,0.4,0.4,0.0,2,0,26,37,70.3,3,29,4,4,2
Curtis Jones,17,eng ENG,"AM,DM",23-271,89,0,0,0,0,1,0,0,0,54,3,0,2,0.1,0.1,0.0,0,0,42,43,97.7,6,32,0,1,0
Wataru Endo,3,jp JPN,DM,31-261,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
Alexis Mac Allister,10,ar ARG,DM,25-308,62,0,0,0,0,1,1,1,0,25,1,0,0,0.1,0.1,0.0,2,0,16,20,80.0,4,11,0,0,0
Dominik Szoboszlai,8,hu HUN,AM,24-002,28,0,0,0,0,0,0,0,0,15,0,0,2,0.0,0.0,0.0,0,0,11,13,84.6,0,9,2,0,0
Ryan Gravenberch,38,nl NED,DM,22-164,90,0,0,0,0,1,0,0,0,61,2,1,2,0.0,0.0,0.0,1,0,42,47,89.4,2,36,0,2,1
Andrew Robertson,26,sct SCO,LB,30-230,62,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.0,1,0,21,30,70.0,1,13,0,1,0
Kostas Tsimikas,21,gr GRE,LB,28-168,28,0,0,0,0,0,0,0,0,28,2,1,0,0.0,0.0,0.0,0,0,20,24,83.3,1,12,0,0,0
Virgil van Dijk,4,nl NED,CB,33-111,90,1,0,0,0,1,1,0,0,93,1,1,0,0.3,0.3,0.0,1,0,73,84,86.9,1,48,0,0,0
Ibrahima Konaté,5,fr FRA,CB,25-155,90,0,0,0,0,0,0,0,0,71,2,0,1,0.0,0.0,0.0,1,0,54,61,88.5,2,40,0,0,0
Trent Alexander-Arnold,66,eng ENG,RB,26-020,90,0,0,0,0,2,0,0,0,66,0,0,1,0.0,0.0,0.1,3,2,42,61,68.9,5,33,1,0,0
Caoimhín Kelleher,62,ie IRL,GK,25-339,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,26,42,61.9,0,32,0,1,1
