match_id,season_id,date,home_team,away_team,home_score,away_score,status,stadium,attendance
93390,578,"Sat 30 Sep 2023, 15:00 BST",38,11,2,1,C,Molineux Stadium,31415
93388,578,"Sat 30 Sep 2023, 17:30 BST",21,10,2,1,C,Tottenham Hotspur Stadium,62001
93387,578,"Sun 1 Oct 2023, 14:00 BST",15,130,1,1,C,The City Ground,29004
93384,578,"Mon 2 Oct 2023, 20:00 BST",34,4,0,2,C,Craven Cottage,24445
93335,578,"Tue 3 Oct 2023, 19:30 BST",163,43,1,2,C,Kenilworth Road,10918
93397,578,"Sat 7 Oct 2023, 12:30 BST",163,21,0,1,C,Kenilworth Road,10929
93393,578,"Sat 7 Oct 2023, 15:00 BST",43,4,1,4,C,Turf Moor,21654
93395,578,"Sat 7 Oct 2023, 15:00 BST",7,127,3,0,C,Goodison Park,38815
93396,578,"Sat 7 Oct 2023, 15:00 BST",34,18,3,1,C,Craven Cottage,24361
93398,578,"Sat 7 Oct 2023, 15:00 BST",12,130,2,1,C,Old Trafford,73453
93394,578,"Sat 7 Oct 2023, 17:30 BST",6,15,0,0,C,Selhurst Park,25017
93392,578,"Sun 8 Oct 2023, 14:00 BST",131,10,2,2,C,American Express Stadium,31752
93399,578,"Sun 8 Oct 2023, 14:00 BST",25,23,2,2,C,London Stadium,
93400,578,"Sun 8 Oct 2023, 14:00 BST",38,2,1,1,C,Molineux Stadium,
93391,578,"Sun 8 Oct 2023, 16:30 BST",1,11,1,0,C,Emirates Stadium,60233
93405,578,"Sat 21 Oct 2023, 12:30 BST",10,7,2,0,C,Anfield,50201
93402,578,"Sat 21 Oct 2023, 15:00 BST",127,38,1,2,C,Vitality Stadium,11175
93403,578,"Sat 21 Oct 2023, 15:00 BST",130,43,3,0,C,Gtech Community Stadium,17029
93406,578,"Sat 21 Oct 2023, 15:00 BST",11,131,2,1,C,Etihad Stadium,53466
93407,578,"Sat 21 Oct 2023, 15:00 BST",23,6,4,0,C,St. James' Park,52189
93408,578,"Sat 21 Oct 2023, 15:00 BST",15,163,2,2,C,The City Ground,29361
93404,578,"Sat 21 Oct 2023, 17:30 BST",4,1,2,2,C,Stamford Bridge,39723
93409,578,"Sat 21 Oct 2023, 20:00 BST",18,12,1,2,C,Bramall Lane,31543
93401,578,"Sun 22 Oct 2023, 16:30 BST",2,25,4,1,C,Villa Park,41734
93410,578,"Mon 23 Oct 2023, 20:00 BST",21,34,2,0,C,Tottenham Hotspur Stadium,61286
93416,578,"Fri 27 Oct 2023, 20:00 BST",6,21,1,2,C,Selhurst Park,25074
93415,578,"Sat 28 Oct 2023, 12:30 BST",4,130,0,2,C,Stamford Bridge,39575
93411,578,"Sat 28 Oct 2023, 15:00 BST",1,18,5,0,C,Emirates Stadium,60153
93413,578,"Sat 28 Oct 2023, 15:00 BST",127,43,2,1,C,Vitality Stadium,11152
93420,578,"Sat 28 Oct 2023, 17:30 BST",38,23,2,2,C,Molineux Stadium,31584
93419,578,"Sun 29 Oct 2023, 13:00 GMT",25,7,0,1,C,London Stadium,62469
93412,578,"Sun 29 Oct 2023, 14:00 GMT",2,163,3,1,C,Villa Park,41785
93414,578,"Sun 29 Oct 2023, 14:00 GMT",131,34,1,1,C,American Express Stadium,31550
93417,578,"Sun 29 Oct 2023, 14:00 GMT",10,15,3,0,C,Anfield,50143
