team_id,season_id,position,played,wins,draws,losses,goals_for,goals_against,points,clean_sheets,goal_difference
4,54,1,0,0,0,0,0,0,0,0,0
21,54,2,0,0,0,0,0,0,0,0,0
11,54,3,0,0,0,0,0,0,0,0,0
10,54,4,0,0,0,0,0,0,0,0,0
1,54,5,0,0,0,0,0,0,0,0,0
12,54,6,0,0,0,0,0,0,0,0,0
7,54,7,0,0,0,0,0,0,0,0,0
20,54,8,0,0,0,0,0,0,0,0,0
127,54,9,0,0,0,0,0,0,0,0,0
36,54,10,0,0,0,0,0,0,0,0,0
25,54,11,0,0,0,0,0,0,0,0,0
26,54,12,0,0,0,0,0,0,0,0,0
42,54,13,0,0,0,0,0,0,0,0,0
6,54,14,0,0,0,0,0,0,0,0,0
45,54,15,0,0,0,0,0,0,0,0,0
43,54,16,0,0,0,0,0,0,0,0,0
33,54,17,0,0,0,0,0,0,0,0,0
41,54,18,0,0,0,0,0,0,0,0,0
13,54,19,0,0,0,0,0,0,0,0,0
29,54,20,0,0,0,0,0,0,0,0,0
