player_id,season_id,appearances,goals,assists,minutes_played,yellow_cards,red_cards
3665,54,24,4,1,1849,0,0
2417,54,29,5,4,1327,0,0
13553,54,0,0,0,0,0,0
7215,54,0,0,0,0,0,0
3182,54,2,3,0,180,0,0
5672,54,27,2,1,2430,0,0
7564,54,21,1,3,1038,0,0
3604,54,28,1,18,1599,0,0
4810,54,34,2,2,2403,0,0
15759,54,28,2,1,986,0,0
4804,54,32,1,1,2754,0,0
5344,54,15,2,2,560,0,0
13867,54,8,1,3,276,0,0
4896,54,13,1,1,438,0,0
15161,54,0,0,0,0,0,0
2611,54,10,1,1,269,0,0
4129,54,6,1,1,359,0,0
22017,54,0,0,0,0,0,0
3850,54,0,0,0,0,0,0
14805,54,0,0,0,0,0,0
14298,54,1,0,0,9,0,0
3877,54,34,4,1,2700,0,0
3170,54,38,6,1,3420,0,0
2932,54,38,5,1,3420,0,0
13561,54,4,0,0,96,0,0
8044,54,34,2,2,2940,0,0
8052,54,28,3,2,1767,0,0
4003,54,24,1,1,1960,0,0
13570,54,0,0,0,0,0,0
4335,54,8,6,1,182,0,0
5371,54,36,1,2,3103,0,0
7482,54,11,3,1,692,0,0
13387,54,23,2,1,1539,0,0
12639,54,11,3,1,731,0,0
19680,54,10,4,1,650,0,0
10423,54,19,2,1,1516,0,0
9650,54,0,0,0,0,0,0
9163,54,3,1,1,248,0,0
10528,54,0,0,0,0,0,0
3868,54,0,0,0,0,0,0
12946,54,4,2,1,75,0,0
5937,54,0,0,0,0,0,0
4771,54,0,0,0,0,0,0
4600,54,0,0,0,0,0,0
14725,54,0,0,0,0,0,0
4740,54,16,1,5,525,0,0
3046,54,11,3,1,702,0,0
2942,54,12,12,1,641,0,0
8249,54,0,0,0,0,0,0
4061,54,0,0,0,0,0,0
10951,54,0,0,0,0,0,0
4481,54,29,2,1,1194,0,0
851,54,5,1,0,450,0,0
10469,54,0,0,0,0,0,0
4478,54,0,0,0,0,0,0
14830,54,1,0,0,2,0,0
10651,54,0,0,0,0,0,0
6900,54,0,0,0,0,0,0
11961,54,11,2,4,364,0,0
13922,54,0,0,0,0,0,0
10519,54,0,0,0,0,0,0
3390,54,27,3,10,1357,0,0
13562,54,0,0,0,0,0,0
8055,54,3,2,1,57,0,0
12815,54,11,1,0,125,0,0
1870,54,28,6,0,2520,0,0
9060,54,32,2,9,2267,0,0
13196,54,0,0,0,0,0,0
13794,54,0,0,0,0,0,0
10448,54,0,0,0,0,0,0
8650,54,0,0,0,0,0,0
21731,54,15,1,1,1146,0,0
13985,54,5,0,1,38,0,0
6210,54,20,2,2,994,0,0
4004,54,17,2,4,857,0,0
12582,54,33,1,1,2685,0,0
5101,54,10,1,1,709,0,0
15269,54,0,0,0,0,0,0
3558,54,10,1,0,900,0,0
3183,54,0,0,0,0,0,0
4614,54,0,0,0,0,0,0
3394,54,0,0,0,0,0,0
20869,54,0,0,0,0,0,0
709,54,0,0,0,0,0,0
15145,54,0,0,0,0,0,0
16592,54,1,1,1,90,0,0
3143,54,0,0,0,0,0,0
20494,54,0,0,0,0,0,0
13777,54,0,0,0,0,0,0
4503,54,36,1,1,3002,0,0
2933,54,35,4,1,3150,0,0
4582,54,0,0,0,0,0,0
3712,54,24,1,3,2118,0,0
8586,54,32,1,1,2695,0,0
11021,54,0,0,0,0,0,0
11289,54,0,0,0,0,0,0
2569,54,29,2,1,2610,0,0
13247,54,0,0,0,0,0,0
6204,54,15,2,1,633,0,0
10534,54,0,0,0,0,0,0
10460,54,24,5,1,1428,0,0
10501,54,0,0,0,0,0,0
3719,54,38,8,1,3339,0,0
14619,54,0,0,0,0,0,0
1881,54,0,0,0,0,0,0
14197,54,0,0,0,0,0,0
