team_id,name,short_name,founded,stadium,capacity
1,Arsenal,Arsenal,,Emirates Stadium,60361
2,Aston Villa,Aston Villa,,Villa Park,42788
4,Chelsea,Chelsea,,Stamford Bridge,41837
7,Everton,Everton,,Goodison Park,40157
34,Fulham,Fulham,,Craven Cottage,25700
10,Liverpool,Liverpool,,Anfield,45276
11,Manchester City,Man City,,Etihad Stadium,47805
12,Manchester United,Man Utd,,Old Trafford,75811
23,Newcastle United,Newcastle,,St. James' Park,52387
14,Norwich City,Norwich,,Carrow Road,27220
17,Queens Park Rangers,QPR,,MATRADE Loftus Road,
40,Reading,Reading,,Madejski Stadium,24161
20,Southampton,Southampton,,St. Mary's Stadium,32690
42,Stoke City,Stoke,,Britannia Stadium,27740
29,Sunderland,Sunderland,,Stadium of Light,49000
45,Swansea City,Swansea,,Swansea.com Stadium,
21,Tottenham Hotspur,Spurs,,White Hart Lane,36230
36,West Bromwich Albion,West Brom,,The Hawthorns,26272
25,West Ham United,West Ham,,Boleyn Ground,35016
39,Wigan Athletic,Wigan,,DW Stadium,25138
