team_id,name,short_name,founded,stadium,capacity
1,Arsenal,Arsenal,,Emirates Stadium,60272
127,Bournemouth,Bournemouth,,Vitality Stadium,11464
131,Brighton & Hove Albion,Brighton,,AMEX Stadium,22374
43,Burnley,Burnley,,Turf Moor,21401
4,Chelsea,Chelsea,,Stamford Bridge,41798
6,Crystal Palace,Crystal Palace,,Selhurst Park,25073
7,Everton,Everton,,Goodison Park,39571
159,Huddersfield Town,Huddersfield,,John Smith's Stadium,24500
26,Leicester City,Leicester,,King Power Stadium,32312
10,Liverpool,Liverpool,,Anfield,54074
11,Manchester City,Man City,,Etihad Stadium,55000
12,Manchester United,Man Utd,,Old Trafford,75635
23,Newcastle United,Newcastle,,St. James' Park,52405
20,Southampton,Southampton,,St. Mary's Stadium,32505
42,Stoke City,Stoke,,Britannia Stadium,27740
45,Swansea City,Swansea,,Liberty Stadium,21028
21,Tottenham Hotspur,Spurs,,Wembley Stadium,90000
33,Watford,Watford,,Vicarage Road,22000
36,West Bromwich Albion,West Brom,,The Hawthorns,26445
25,West Ham United,West Ham,,London Stadium,
