date_GMT,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,home_goal_0_9,home_goal_10_19,home_goal_20_29,home_goal_30_39,home_goal_40_49,home_goal_50_59,home_goal_60_69,home_goal_70_79,home_goal_80_89,home_goal_90_99,home_goal_100_plus,away_goal_0_9,away_goal_10_19,away_goal_20_29,away_goal_30_39,away_goal_40_49,away_goal_50_59,away_goal_60_69,away_goal_70_79,away_goal_80_89,away_goal_90_99,away_goal_100_plus,home_result,away_result
Aug 10 2018 - 7:00pm,Manchester United,Leicester City,0.0,0.0,1.89,1.32,2,1,3,1,1,0,2,5,2,0,1,0,0,2,0,1,8,8,7,5,1,3,11,8,46,54,0.0,0.0,1.25,1.46,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.37,4.98,9.81,1.33,2.0,3.6,7.5,2.05,1.69,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,win,lose
Aug 11 2018 - 11:30am,Newcastle United,Tottenham Hotspur,0.0,0.0,1.32,1.74,1,2,3,3,1,2,3,5,2,0,2,0,0,2,1,1,11,13,3,6,8,7,11,12,40,60,0.0,0.0,1.18,1.58,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.51,3.77,1.84,1.31,1.95,3.5,5.75,1.83,1.87,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,lose,win
Aug 11 2018 - 2:00pm,AFC Bournemouth,Cardiff City,0.0,0.0,1.53,0.74,2,0,2,1,1,0,7,4,1,0,1,0,1,0,1,0,11,7,5,2,6,5,11,9,62,38,0.0,0.0,1.5,0.89,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.03,3.51,3.96,1.31,1.95,3.45,6.7,1.83,1.83,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,win,lose
Aug 11 2018 - 2:00pm,Fulham,Crystal Palace,0.0,0.0,1.11,1.53,0,2,2,1,0,1,5,5,1,0,2,0,1,0,1,1,11,11,7,11,4,0,9,11,66,34,0.0,0.0,1.67,1.81,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.31,3.44,3.26,1.28,1.87,3.2,7.0,1.71,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,lose,win
Aug 11 2018 - 2:00pm,Huddersfield Town,Chelsea,0.0,0.0,0.47,1.58,0,3,3,2,0,2,2,5,2,0,1,0,1,1,0,1,6,8,2,5,4,3,9,8,37,63,0.0,0.0,0.9,1.17,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.47,4.27,1.51,1.29,1.91,3.3,6.95,2.0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,lose,win
Aug 11 2018 - 2:00pm,Watford,Brighton & Hove Albion,0.0,0.0,1.42,0.68,2,0,2,1,1,0,8,2,2,0,2,0,0,2,1,1,15,6,6,0,9,6,10,16,53,47,0.0,0.0,1.78,0.65,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.26,3.35,3.45,1.44,2.35,4.55,9.5,2.0,1.71,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,win,lose
Aug 11 2018 - 4:30pm,Wolverhampton Wanderers,Everton,0.0,0.0,1.79,1.05,2,2,4,2,1,1,3,6,0,0,1,1,0,0,2,0,10,9,5,6,5,3,8,7,57,43,0.0,0.0,1.41,1.34,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.57,3.39,2.89,1.39,2.2,4.1,9.0,1.91,1.77,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,draw,draw
Aug 12 2018 - 12:30pm,Liverpool,West Ham United,0.0,0.0,2.79,1.11,4,0,4,2,2,0,5,4,1,0,2,0,1,0,0,2,16,5,9,3,7,2,14,9,64,36,0.0,0.0,2.12,0.75,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.33,5.56,9.99,1.11,1.4,2.0,3.5,1.83,1.87,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,win,lose
Aug 12 2018 - 12:30pm,Southampton,Burnley,0.0,0.0,1.21,0.89,0,0,0,0,0,0,8,5,0,0,1,0,0,0,1,0,10,13,4,7,6,6,10,9,47,53,0.0,0.0,1.29,1.69,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.93,3.47,4.48,1.47,2.4,4.7,10.0,2.2,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,draw,draw
Aug 12 2018 - 3:00pm,Arsenal,Manchester City,0.0,0.0,2.37,2.32,0,2,2,1,0,1,2,9,2,0,2,0,1,1,1,1,8,14,4,9,4,5,11,14,42,58,0.0,0.0,1.11,1.91,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.7,3.81,2.01,1.16,1.51,2.3,4.25,1.51,2.35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,lose,win
