player_id,season_id,appearances,goals,assists,minutes_played,yellow_cards,red_cards
13286,210,0,0,0,0,0,0
13549,210,0,0,0,0,0,0
4852,210,0,0,0,0,0,0
11357,210,2,1,0,88,0,0
4040,210,0,0,0,0,0,0
4328,210,33,4,1,2479,0,0
10559,210,0,0,0,0,0,0
24695,210,0,0,0,0,0,0
10439,210,0,0,0,0,0,0
4499,210,38,6,1,3412,0,0
4482,210,0,0,0,0,0,0
3564,210,27,1,0,1626,0,0
4916,210,34,1,2,2923,0,0
14732,210,29,1,1,2466,0,0
20559,210,38,1,0,3420,0,0
9167,210,25,3,1,1833,0,0
54312,210,10,2,1,763,0,0
4093,210,31,1,1,2761,0,0
14743,210,0,0,0,0,0,0
12306,210,9,2,3,639,0,0
15128,210,1,0,0,2,0,0
19731,210,0,0,0,0,0,0
10475,210,22,2,1,1404,0,0
37587,210,23,4,1,873,0,0
5061,210,27,1,1,1986,0,0
10476,210,15,1,0,594,0,0
32162,210,22,1,6,1519,0,0
9595,210,33,3,1,2099,0,0
51667,210,0,0,0,0,0,0
12186,210,29,3,2,1431,0,0
4823,210,28,2,1,1999,0,0
8050,210,25,2,1,2006,0,0
14803,210,0,0,0,0,0,0
14650,210,0,0,0,0,0,0
14945,210,0,0,0,0,0,0
4859,210,28,1,1,1488,0,0
5110,210,36,6,1,2731,0,0
11293,210,8,2,4,563,0,0
9468,210,25,1,1,980,0,0
15340,210,0,0,0,0,0,0
5595,210,20,1,1,1187,0,0
19606,210,16,1,1,468,0,0
4496,210,38,1,1,3403,0,0
3413,210,16,3,5,1260,0,0
9762,210,0,0,0,0,0,0
4721,210,11,1,1,554,0,0
12937,210,12,1,0,639,0,0
3030,210,6,2,1,376,0,0
11260,210,0,0,0,0,0,0
4749,210,0,0,0,0,0,0
32435,210,23,3,1,2014,0,0
4711,210,0,0,0,0,0,0
20183,210,8,1,0,591,0,0
63655,210,0,0,0,0,0,0
7500,210,28,3,2,2475,0,0
14623,210,0,0,0,0,0,0
15288,210,0,0,0,0,0,0
2517,210,19,1,4,1672,0,0
4115,210,27,2,4,1241,0,0
13590,210,0,0,0,0,0,0
8246,210,37,2,2,2386,0,0
49956,210,1,0,0,4,0,0
7450,210,11,3,1,756,0,0
3988,210,0,0,0,0,0,0
19589,210,25,1,1,2150,0,0
2537,210,24,3,0,2160,0,0
4474,210,19,2,1,1533,0,0
13490,210,0,0,0,0,0,0
5575,210,10,1,1,900,0,0
16671,210,0,0,0,0,0,0
3672,210,30,3,1,2641,0,0
14441,210,0,0,0,0,0,0
4492,210,16,1,1,813,0,0
50975,210,0,0,0,0,0,0
5907,210,34,1,2,2127,0,0
23591,210,22,6,1,1750,0,0
5067,210,36,2,1,2853,0,0
2886,210,24,1,2,2160,0,0
10451,210,0,0,0,0,0,0
4511,210,7,2,0,630,0,0
8882,210,27,1,4,2190,0,0
50245,210,28,6,7,1768,0,0
4888,210,0,0,0,0,0,0
24299,210,0,0,0,0,0,0
10441,210,0,0,0,0,0,0
3348,210,0,0,0,0,0,0
13468,210,0,0,0,0,0,0
21820,210,0,0,0,0,0,0
4763,210,0,0,0,0,0,0
14793,210,0,0,0,0,0,0
16204,210,36,1,5,3168,0,0
5721,210,22,4,4,1805,0,0
