team_id,season_id,wins,draws,losses,goals_scored,goals_conceded,points,position_in_table,matches_played
10,719,0,0,0,0,0,0,1,0
1,719,0,0,0,0,0,0,2,0
11,719,0,0,0,0,0,0,3,0
4,719,0,0,0,0,0,0,4,0
23,719,0,0,0,0,0,0,5,0
2,719,0,0,0,0,0,0,6,0
15,719,0,0,0,0,0,0,7,0
131,719,0,0,0,0,0,0,8,0
127,719,0,0,0,0,0,0,9,0
130,719,0,0,0,0,0,0,10,0
34,719,0,0,0,0,0,0,11,0
6,719,0,0,0,0,0,0,12,0
7,719,0,0,0,0,0,0,13,0
25,719,0,0,0,0,0,0,14,0
12,719,0,0,0,0,0,0,15,0
38,719,0,0,0,0,0,0,16,0
21,719,0,0,0,0,0,0,17,0
26,719,0,0,0,0,0,0,18,0
8,719,0,0,0,0,0,0,19,0
20,719,0,0,0,0,0,0,20,0
