team_id,season_id,wins,draws,losses,goals_scored,goals_conceded,points,position_in_table,matches_played
11,489,0,0,0,0,0,0,1,0
1,489,0,0,0,0,0,0,2,0
12,489,0,0,0,0,0,0,3,0
23,489,0,0,0,0,0,0,4,0
10,489,0,0,0,0,0,0,5,0
131,489,0,0,0,0,0,0,6,0
2,489,0,0,0,0,0,0,7,0
21,489,0,0,0,0,0,0,8,0
130,489,0,0,0,0,0,0,9,0
34,489,0,0,0,0,0,0,10,0
6,489,0,0,0,0,0,0,11,0
4,489,0,0,0,0,0,0,12,0
38,489,0,0,0,0,0,0,13,0
25,489,0,0,0,0,0,0,14,0
127,489,0,0,0,0,0,0,15,0
15,489,0,0,0,0,0,0,16,0
7,489,0,0,0,0,0,0,17,0
26,489,0,0,0,0,0,0,18,0
9,489,0,0,0,0,0,0,19,0
20,489,0,0,0,0,0,0,20,0
