player_id,season_id,appearances,goals,assists,minutes_played,yellow_cards,red_cards
9895,42,4,1,0,299,0,0
10487,42,34,4,30,2045,0,0
5181,42,0,0,0,0,0,0
4525,42,26,8,50,2003,0,0
4640,42,2,2,0,180,0,0
3388,42,4,1,1,118,0,0
4821,42,35,4,19,3096,0,0
15190,42,0,0,0,0,0,0
10527,42,1,0,2,35,0,0
10814,42,0,0,0,0,0,0
4540,42,1,0,0,16,0,0
8356,42,0,0,0,0,0,0
4433,42,3,0,0,67,0,0
13822,42,21,3,2,1776,0,0
9934,42,0,0,0,0,0,0
8049,42,26,2,13,1334,0,0
4084,42,31,2,59,2624,0,0
4103,42,12,2,1,607,0,0
4616,42,3,1,2,28,0,0
3548,42,31,1,37,2623,0,0
11013,42,3,3,1,163,0,0
2216,42,6,1,0,540,0,0
9949,42,0,0,0,0,0,0
4405,42,23,1,12,1821,0,0
8058,42,3,0,1,38,0,0
13565,42,11,4,6,861,0,0
3811,42,35,5,45,2337,0,0
4818,42,1,0,0,10,0,0
4209,42,24,4,7,2136,0,0
13123,42,0,0,0,0,0,0
4572,42,13,1,4,285,0,0
2925,42,24,1,8,2044,0,0
1982,42,11,1,4,723,0,0
13564,42,0,0,0,0,0,0
3934,42,37,4,42,2976,0,0
10488,42,3,1,1,63,0,0
13511,42,31,1,49,1981,0,0
8710,42,1,0,0,4,0,0
4696,42,13,1,0,1170,0,0
10510,42,1,1,0,90,0,0
13796,42,0,0,0,0,0,0
3851,42,12,1,3,346,0,0
3389,42,22,5,14,1158,0,0
10472,42,16,1,10,1253,0,0
13555,42,4,2,0,360,0,0
4286,42,29,1,11,1606,0,0
16616,42,0,0,0,0,0,0
6030,42,34,3,28,2564,0,0
4536,42,0,0,0,0,0,0
2064,42,28,1,43,2410,0,0
3507,42,24,2,24,2132,0,0
3052,42,0,0,0,0,0,0
9031,42,1,0,0,14,0,0
10580,42,0,0,0,0,0,0
2681,42,28,1,29,1680,0,0
4347,42,11,4,0,990,0,0
2896,42,27,5,0,2430,0,0
3311,42,28,6,27,2448,0,0
6251,42,4,1,1,148,0,0
4796,42,22,1,4,1855,0,0
10004,42,20,1,10,1074,0,0
13648,42,0,0,0,0,0,0
4973,42,30,1,62,2446,0,0
4193,42,12,1,1,379,0,0
4718,42,0,0,0,0,0,0
8980,42,24,3,17,1383,0,0
2508,42,38,4,5,3420,0,0
4615,42,29,2,9,2204,0,0
1218,42,0,0,0,0,0,0
5271,42,18,1,8,1202,0,0
10503,42,0,0,0,0,0,0
13915,42,0,0,0,0,0,0
2412,42,0,0,0,0,0,0
4185,42,25,4,27,1758,0,0
5267,42,27,3,50,2028,0,0
4608,42,5,3,4,450,0,0
3158,42,20,3,1,1697,0,0
13121,42,0,0,0,0,0,0
10507,42,0,0,0,0,0,0
10516,42,0,0,0,0,0,0
2007,42,1,1,0,12,0,0
4421,42,36,1,57,2917,0,0
4145,42,24,1,67,1800,0,0
13193,42,0,0,0,0,0,0
2892,42,27,1,5,1596,0,0
4549,42,37,4,57,3221,0,0
3404,42,22,1,5,1886,0,0
3613,42,35,2,6,3150,0,0
3512,42,31,1,14,2096,0,0
16608,42,0,0,0,0,0,0
10443,42,0,0,0,0,0,0
4846,42,0,0,0,0,0,0
4999,42,28,4,18,1105,0,0
2837,42,12,1,8,658,0,0
10444,42,34,4,27,3014,0,0
2664,42,2,1,0,180,0,0
4679,42,0,0,0,0,0,0
10447,42,0,0,0,0,0,0
3766,42,21,1,34,1440,0,0
4348,42,0,0,0,0,0,0
4779,42,17,1,1,1530,0,0
4612,42,0,0,0,0,0,0
4316,42,31,1,35,1925,0,0
10482,42,1,0,0,6,0,0
4426,42,7,1,4,564,0,0
8059,42,0,0,0,0,0,0
4505,42,33,5,6,2779,0,0
10508,42,0,0,0,0,0,0
3154,42,14,6,7,979,0,0
4925,42,15,2,7,744,0,0
13126,42,0,0,0,0,0,0
2338,42,38,4,43,3420,0,0
13195,42,0,0,0,0,0,0
3543,42,0,0,0,0,0,0
12802,42,0,0,0,0,0,0
10498,42,34,6,74,2290,0,0
15322,42,0,0,0,0,0,0
4815,42,14,1,7,1069,0,0
2323,42,10,2,2,810,0,0
10583,42,0,0,0,0,0,0
1353,42,24,2,2,1989,0,0
4560,42,23,6,5,1952,0,0
5585,42,13,1,5,420,0,0
4798,42,0,0,0,0,0,0
4652,42,0,0,0,0,0,0
10933,42,0,0,0,0,0,0
7744,42,12,1,8,663,0,0
10509,42,0,0,0,0,0,0
3517,42,25,2,12,1963,0,0
9134,42,6,1,7,289,0,0
13281,42,1,1,0,30,0,0
13131,42,4,2,1,315,0,0
4722,42,0,0,0,0,0,0
9246,42,2,1,0,10,0,0
3420,42,0,0,0,0,0,0
4148,42,32,1,44,2331,0,0
3724,42,16,2,28,1153,0,0
4979,42,10,8,1,184,0,0
4401,42,0,0,0,0,0,0
3905,42,6,1,6,458,0,0
13559,42,0,0,0,0,0,0
10932,42,0,0,0,0,0,0
2217,42,0,0,0,0,0,0
8174,42,29,1,14,968,0,0
16582,42,0,0,0,0,0,0
3285,42,14,6,7,855,0,0
3362,42,33,5,30,2970,0,0
5140,42,34,1,9,3060,0,0
4747,42,17,2,5,752,0,0
4811,42,0,0,0,0,0,0
8979,42,36,3,48,3139,0,0
4809,42,4,1,1,315,0,0
13128,42,25,2,39,1824,0,0
9793,42,0,0,0,0,0,0
4666,42,29,2,6,2595,0,0
11590,42,0,0,0,0,0,0
11323,42,4,1,0,64,0,0
4398,42,1,1,0,90,0,0
4851,42,0,0,0,0,0,0
9970,42,0,0,0,0,0,0
2839,42,28,5,18,1374,0,0
3955,42,33,1,34,2943,0,0
13815,42,0,0,0,0,0,0
2047,42,27,2,24,1724,0,0
4816,42,30,1,16,2500,0,0
2151,42,0,0,0,0,0,0
4617,42,33,1,32,1533,0,0
8970,42,4,1,0,302,0,0
10359,42,0,0,0,0,0,0
10336,42,23,4,12,907,0,0
4447,42,0,0,0,0,0,0
13563,42,1,0,0,1,0,0
3452,42,11,2,7,578,0,0
15415,42,0,0,0,0,0,0
4489,42,32,2,41,2719,0,0
2299,42,37,5,25,3173,0,0
4557,42,8,1,2,661,0,0
4396,42,21,1,12,1324,0,0
2678,42,0,0,0,0,0,0
7114,42,38,4,48,3168,0,0
13557,42,0,0,0,0,0,0
4024,42,0,0,0,0,0,0
4748,42,35,2,81,2749,0,0
13122,42,0,0,0,0,0,0
3547,42,3,1,1,141,0,0
8454,42,13,2,7,772,0,0
13813,42,10,6,2,812,0,0
7488,42,0,0,0,0,0,0
4130,42,10,3,4,823,0,0
4989,42,31,3,5,2685,0,0
10479,42,0,0,0,0,0,0
878,42,0,0,0,0,0,0
4673,42,34,3,8,2854,0,0
10522,42,23,2,12,1812,0,0
4605,42,20,1,0,1014,0,0
3062,42,18,2,10,1063,0,0
3654,42,13,1,2,1062,0,0
4539,42,34,3,40,2492,0,0
3338,42,15,1,20,790,0,0
4716,42,0,0,0,0,0,0
5175,42,23,5,1,1918,0,0
8043,42,0,0,0,0,0,0
10468,42,0,0,0,0,0,0
