player_id,name,position,nationality
2523,David Jones,D,England
4100,David Luiz,D,Brazil
1775,Simon Davies,M,Wales
4285,Ulises Dávila,M,Mexico
2971,Kelvin Davis,G,England
3515,Simon Dawkins,M,Jamaica
4389,Lucas Dawson,M,England
4330,David de Gea,G,Spain
4657,Jonathan de Guzmán,M,Netherlands
3659,Nigel de Jong,M,Netherlands
4622,Steve De Ridder,M,Belgium
4041,Roarie Deacon,M,England
4546,Mathieu Debuchy,D,France
1526,Jermain Defoe,F,England
4516,Ashkan Dejagah,M,Iran
4098,Matej Delac,G,Croatia
1391,Rory Delap,M,Ireland
3566,Nathan Delfouneso,F,England
3799,Fabian Delph,M,England
4123,Mousa Dembélé,M,Belgium
4680,Guy Demel,D,Cote D’Ivoire
3121,Clint Dempsey,F,United States
3053,Denilson,M,Brazil
2823,Shaun Derry,M,England
3366,Franco Di Santo,F,Argentina
4377,Samba Diakité,M,Mali
3982,Mohamed Diamé,M,Senegal
4304,Mahamadou Diarra,M,Mali
4446,Nouha Dicko,F,Mali
4613,Ryan Dickson,M,England
2125,Sylvain Distin,D,France
2861,DJ Campbell,F,England
2609,Johan Djourou,D,Switzerland
4422,Stephen Dobbie,F,Scotland
3873,Tom Donegan,M,England
4312,Doni,G,Brazil
3746,Graham Dorrans,M,Scotland
3729,Giovani dos Santos,M,Mexico
4378,Michael Doughty,M,England
2122,Stewart Downing,M,England
4683,Callum Driver,D,England
1004,Damien Duff,M,Ireland
3601,Shane Duffy,D,Ireland
4340,Paul Dummett,D,Wales
1184,Richard Dunne,D,Ireland
1740,Kieron Dyer,M,England
4151,Edin Dzeko,F,Bosnia & Herzegovina
3317,Craig Eastmond,M,England
3651,Nathan Eccleston,F,England
4638,Maurice Edu,M,United States
10879,Ryan Edwards,M,Australia
4394,John Egan,D,Ireland
4374,Max Ehmer,D,Germany
4253,Thomas Eisfeld,M,Germany
4488,Karim El Ahmadi,M,Morocco
3332,Yassine El Ghanassy,M,Belgium
2214,Robert Elliot,G,Ireland
4475,Elton Monteiro,D,Portugal
4517,Urby Emanuelson,M,Netherlands
4519,Eyong Enoh,M,Cameroon
3020,Hogan Ephraim,M,England
4699,Roger Espinoza,M,Honduras
2890,Michael Essien,M,Ghana
4120,Neil Etheridge,G,Philippines
1772,Matthew Etherington,M,England
4535,George Evans,M,England
2934,Patrice Evra,D,France
3309,Lukasz Fabianski,G,Poland
3665,Fábio,D,Brazil
4429,Iago Falque,F,Spain
4688,Matthias Fanimo,M,England
4383,Alejandro Faurlin,M,Argentina
3182,Adam Federici,G,Australia
3604,Marouane Fellaini,M,Belgium
1111,Rio Ferdinand,D,England
4167,Shane Ferguson,M,Northern Ireland
3524,Maynor Figueroa,D,Honduras
4129,Jon Flanagan,D,England
1943,Darren Fletcher,M,Scotland
10733,Seko Fofana,M,Cote D’Ivoire
3504,Tommy Forecast,G,England
4607,Vegard Forren,D,Norway
3232,Jonathan Forte,F,Barbados
3754,Marc-Antoine Fortuné,F,France
2932,Ben Foster,G,England
2521,David Fox,M,England
4295,Francisco Júnior,M,Guinea-Bissau
4352,George Francomb,D,England
3958,Ryan Fredericks,D,England
4305,Kerim Frei,M,Turkiye
1420,Brad Friedel,G,United States
3551,Emmanuel Frimpong,M,Ghana
4335,Ezekiel Fryers,D,England
4700,Fraser Fyvie,M,Scotland
4635,Stefan Galinski,D,Poland
2054,William Gallas,D,France
4624,Dominic Gape,M,England
3868,Luke Garbutt,D,England
3800,Gary Gardner,M,England
10529,Bradley Garmston,D,Ireland
4440,Cameron Gayle,D,England
4600,Paulo Gazzaniga,G,Argentina
2390,Zoltán Gera,M,Hungary
1575,Steven Gerrard,M,England
4255,Gervinho,F,Cote D’Ivoire
4379,Jordan Gibbons,M,England
3046,Kieran Gibbs,D,England
2942,Darron Gibson,M,Ireland
335,Ryan Giggs,M,Wales
4481,Olivier Giroud,F,France
851,Shay Given,G,Ireland
4478,Serge Gnabry,F,Germany
3977,Román Golobart,D,Spain
4547,Curtis Good,D,Australia
3858,Ben Gordon,D,England
4468,Kaspars Gorkss,D,Latvia
3390,Dan Gosling,M,England
4554,Yoan Gouffran,M,France
4415,Mark Gower,M,England
4596,Gozie Ugwu,F,England
4570,Esteban Granero,M,Spain
4260,Jack Grealish,M,England
2758,Robert Green,G,England
4300,Jack Grimmer,D,Scotland
4299,Zdenek Grygera,D,Czech Republic
4117,Magaye Gueye,F,Senegal
4153,John Guidetti,F,Sweden
3400,Péter Gulácsi,G,Hungary
4619,Guly do Prado,M,Brazil
3200,Brynjar Gunnarsson,M,Iceland
3510,Chris Gunter,D,Wales
3131,Danny Guthrie,M,England
3683,Jonás Gutiérrez,M,Argentina
3558,Brad Guzan,G,United States
4545,Massadio Haïdara,D,Mali
4249,Sead Hajrovic,D,Switzerland
4694,Robert Hall,F,England
4122,Rafik Halliche,D,Algeria
4614,Dean Hammond,M,England
3394,Brede Hangeland,D,Norway
709,Steve Harper,G,England
