team_id,season_id,wins,draws,losses,goals_scored,goals_conceded,points,position_in_table,matches_played
11,363,0,0,0,0,0,0,1,0
12,363,0,0,0,0,0,0,2,0
10,363,0,0,0,0,0,0,3,0
4,363,0,0,0,0,0,0,4,0
26,363,0,0,0,0,0,0,5,0
25,363,0,0,0,0,0,0,6,0
21,363,0,0,0,0,0,0,7,0
1,363,0,0,0,0,0,0,8,0
9,363,0,0,0,0,0,0,9,0
7,363,0,0,0,0,0,0,10,0
2,363,0,0,0,0,0,0,11,0
23,363,0,0,0,0,0,0,12,0
38,363,0,0,0,0,0,0,13,0
6,363,0,0,0,0,0,0,14,0
20,363,0,0,0,0,0,0,15,0
131,363,0,0,0,0,0,0,16,0
43,363,0,0,0,0,0,0,17,0
34,363,0,0,0,0,0,0,18,0
36,363,0,0,0,0,0,0,19,0
18,363,0,0,0,0,0,0,20,0
