player_id,name,position,nationality
11347,Cédric Soares,D,Portugal
51616,Kallum Cesay,D,Sierra Leone
14575,Trevoh Chalobah,D,England
4620,Calum Chambers,D,England
30534,Dan Chesters,M,England
141022,Christian Chigozie,D,England
13491,Ben Chilwell,D,England
122388,Chiquinho,F,Portugal
69766,Tawanda Chirewa,M,Zimbabwe
127804,Leon Chiwome,F,England
20858,Tahith Chong,M,Netherlands
92713,Samy Chouchane,M,Tunisia
15572,Ryan Christie,M,Scotland
64140,Carney Chukwuemeka,M,England
108314,Darko Churlinov,M,North Macedonia
66366,Catalin Cîrjan,M,Romania
67213,Bobby Clark,M,England
109711,Regan Clayton,D,England
4604,Nathaniel Clyne,D,England
4136,Conor Coady,D,England
3713,Jack Colback,M,England
3600,Séamus Coleman,D,Ireland
24659,Nathan Collins,D,Ireland
67221,Toby Collyer,M,England
51229,Levi Colwill,D,England
21653,Aaron Connolly,F,Ireland
10766,Lewis Cook,M,England
53182,Theo Corbeanu,F,Canada
2889,Jack Cork,D,England
16758,Maxwel Cornet,F,Cote D’Ivoire
112628,Dara Costelloe,F,Ireland
7336,Vladimír Coufal,D,Czech Republic
94666,Ismaila Coulibaly,M,Mali
15211,Conor Coventry,M,Ireland
98258,Matthew Cox,G,England
114135,Amario Cozier-Duberry,M,England
51619,Matthew Craig,M,Scotland
128889,Tristan Crama,D,France
31642,Billy Crellin,G,England
8897,Aaron Cresswell,D,England
27277,Marc Cucurella,D,Spain
10539,Josh Cullen,M,Ireland
14565,Jamie Cumming,G,England
23989,Luke Cundle,M,England
112377,Ted Curd,G,England
145135,Sam Curtis,D,Ireland
51524,Luciano D'Auria-Henry,D,England
129835,Michael Dacosta,F,Spain
49731,Mikkel Damsgaard,M,Denmark
11362,Daniel Podence,M,Portugal
112510,Danilo,M,Brazil
16524,Arnaut Danjuma,F,Netherlands
119292,Jayden Danns,F,England
9251,Karl Darlow,G,Wales
14457,Josh Dasilva,M,England
112581,David Datro Fofana,F,Cote D’Ivoire
13389,Tom Davies,M,England
13130,Keinan Davis,F,England
4198,Craig Dawson,D,England
53177,Lucas De Bolle,M,Scotland
4288,Kevin De Bruyne,M,Belgium
8192,Bobby De Cordova-Reid,F,Jamaica
117573,Luc De Fougerolles,D,Canada
4330,David de Gea,G,Spain
139004,Deivid Washington,F,Brazil
21785,Hannes Delcroix,D,Belgium
22561,Siriki Dembélé,M,Scotland
5866,Leander Dendoncker,M,Belgium
53093,Will Dennis,G,England
49461,Halil Dervisoglu,F,Turkiye
138981,Justin Devenny,M,Northern Ireland
77990,Alfie Devine,M,England
25349,Marcus Dewhurst,G,England
51084,Moussa Diaby,F,France
69176,Amad Diallo,F,Cote D’Ivoire
66669,Luis Díaz,F,Colombia
107806,Matt Dibley-Dias,M,New Zealand
12994,Diego Carlos,D,Brazil
4941,Diego Costa,F,Spain
4112,Eric Dier,D,England
5758,Lucas Digne,D,France
24252,Diogo Dalot,D,Portugal
19758,Diogo Jota,F,Portugal
49884,Issa Diop,D,France
54893,Axel Disasi,D,France
121972,Ben Doak,F,Scotland
51511,Lewis Dobbin,F,England
66524,Owen Dodgson,D,England
4229,Matt Doherty,D,Ireland
54156,Jérémy Doku,F,Belgium
115172,Nicolás Domínguez,M,Argentina
144906,Dominic Martins,M,Portugal
92626,Jamie Donley,F,Northern Ireland
114273,Alfie Dorrington,D,England
126670,Cheick Doucouré,M,Mali
24309,Alfie Doughty,M,England
24626,Douglas Luiz,M,Brazil
14383,Flynn Downes,M,England
24637,Tommy Doyle,M,England
26226,Mohamed Dräger,D,Tunisia
69070,Radu Dragusin,D,Romania
24811,Cody Drameh,D,England
6451,Martin Dúbravka,G,Slovakia
112740,Joshua Duffus,F,England
3601,Shane Duffy,D,Ireland
4340,Paul Dummett,D,Wales
8163,Lewis Dunk,D,England
134048,Jhon Durán,F,Colombia
124989,Kiano Dyer,M,England
110117,George Earthy,M,England
129201,Evan Easton,D,Scotland
14255,Jake Eastwood,G,England
49485,Malcolm Ebiowei,F,England
135722,Claudio Echeverri,M,Argentina
12707,Ederson,G,Brazil
16788,Odsonne Édouard,F,France
40211,Edson Álvarez,M,Mexico
74603,Khayon Edwards,F,Jamaica
4394,John Egan,D,Ireland
51690,CJ Egan-Riley,D,England
128456,Hjalmar Ekdal,D,Sweden
49259,Anthony Elanga,F,Sweden
33185,Harvey Elliott,M,England
66527,Noam Emeran,F,France
16803,Emerson,D,Italy
63654,Emerson Royal,D,Brazil
144759,Lander Emery,G,Spain
125827,Julio Enciso,M,Paraguay
43586,Wataru Endo,M,Japan
4845,Christian Eriksen,M,Denmark
124531,Maxime Estève,D,France
31904,Pervis Estupiñán,D,Ecuador
3156,Jonny Evans,D,Northern Ireland
21584,Eberechi Eze,M,England
