player_id,name,nationality,position,shirt_number,image_path
4114,Araz Abdullayev,Azerbaijan,M,7.0,
4343,Mehdi Abeid,Algeria,M,19.0,
2840,Abou Diaby,France,M,5.0,
4147,Mohammed Abu,Ghana,M,8.0,
4081,Charlie Adam,Scotland,M,,premier_league_data/season_1112/Charlie_Adam_4081.png
3024,Dariusz Adamczuk,Poland,D,,
4181,Blair Adams,England,D,,
2845,Emmanuel Adebayor,Togo,F,10.0,premier_league_data/season_1112/Emmanuel_Adebayor_2845.png
4359,Tom Adeyemi,England,M,24.0,
4345,Sammy Adjei,Ghana,F,,
4040,Benik Afobe,DR Congo,F,7.0,premier_league_data/season_1112/Benik_Afobe_4040.png
2622,Gabriel Agbonlahor,England,F,,premier_league_data/season_1112/Gabriel_Agbonlahor_2622.png
2916,Daniel Agger,Denmark,D,22.0,premier_league_data/season_1112/Daniel_Agger_2916.png
4328,Sergio Agüero,Argentina,F,19.0,premier_league_data/season_1112/Sergio_Agüero_4328.png
4385,Patrick Agyemang,Ghana,F,34.0,
4183,Ahmed El Mohamady,Egypt,D,27.0,premier_league_data/season_1112/Ahmed_El_Mohamady_4183.png
4175,Phil Airey,England,F,,
4465,Matteo Alberti,Italy,M,80.0,
3564,Marc Albrighton,England,M,22.0,premier_league_data/season_1112/Marc_Albrighton_3564.png
4218,Antolín Alcáraz,Paraguay,D,3.0,
2655,Alex,Brazil,D,33.0,
3913,Alex Nimely,England,F,26.0,
3826,Zac Aley,England,F,,
4410,Daniel Alfei,Wales,D,2.0,
2871,Ali Al Habsi,Oman,G,,
4441,Scott Allan,Scotland,M,23.0,
4413,Joe Allen,Wales,M,7.0,premier_league_data/season_1112/Joe_Allen_4413.png
2607,Manuel Almunia,Spain,G,1.0,
2972,Ben Alnwick,England,G,1.0,
4093,Marcos Alonso,Spain,D,20.0,premier_league_data/season_1112/Marcos_Alonso_4093.png
4176,Sammy Ameobi,England,F,21.0,
3416,David Amoo,England,F,32.0,
3663,Ben Amos,England,G,13.0,premier_league_data/season_1112/Ben_Amos_3663.png
4265,Myles Anderson,England,D,,
4247,André Santos,Brazil,M,,
2584,Keith Andrews,Ireland,M,21.0,
4035,Chuks Aneke,England,F,22.0,
1135,Nicolas Anelka,France,F,39.0,premier_league_data/season_1112/Nicolas_Anelka_1135.png
4180,Marcos Angeleri,Argentina,D,2.0,
4428,Lee Angol,England,F,10.0,
2905,Victor Anichebe,Nigeria,F,28.0,premier_league_data/season_1112/Victor_Anichebe_2905.png
3904,Alberto Aquilani,Italy,M,25.0,
3944,Diego Arismendi,Uruguay,M,8.0,
3550,Andrey Arshavin,Russia,M,10.0,premier_league_data/season_1112/Andrey_Arshavin_3550.png
2704,Mikel Arteta,Spain,M,8.0,premier_league_data/season_1112/Mikel_Arteta_2704.png
3239,Benoit Assou-Ekotto,Cameroon,D,32.0,premier_league_data/season_1112/Benoit_Assou-Ekotto_3239.png
4146,Gai Assulin,Israel,M,,
3901,Daniel Ayala,Spain,D,4.0,premier_league_data/season_1112/Daniel_Ayala_3901.png
4213,Demba Ba,Senegal,F,19.0,premier_league_data/season_1112/Demba_Ba_4213.png
4393,Liam Bagnall,Northern Ireland,D,19.0,
3030,Leighton Baines,England,D,3.0,premier_league_data/season_1112/Leighton_Baines_3030.png
2129,Chris Baird,Northern Ireland,D,22.0,premier_league_data/season_1112/Chris_Baird_2129.png
3561,Nathan Baker,England,D,17.0,
4376,Angelo Balanta,Colombia,F,14.0,
3513,Gareth Bale,Wales,F,11.0,premier_league_data/season_1112/Gareth_Bale_3513.png
4361,Matt Ball,Northern Ireland,M,,
4152,Mario Balotelli,Italy,F,9.0,premier_league_data/season_1112/Mario_Balotelli_4152.png
4291,Patrick Bamford,England,F,,premier_league_data/season_1112/Patrick_Bamford_4291.png
3565,Barry Bannan,Scotland,M,10.0,
2517,Phil Bardsley,Scotland,D,27.0,premier_league_data/season_1112/Phil_Bardsley_2517.png
4115,Ross Barkley,England,M,6.0,premier_league_data/season_1112/Ross_Barkley_4115.png
3866,Moses Barnett,England,D,,
1308,Gareth Barry,England,M,18.0,premier_league_data/season_1112/Gareth_Barry_1308.png
4427,Jack Barthram,England,D,2.0,
3312,Kyle Bartley,England,D,5.0,premier_league_data/season_1112/Kyle_Bartley_3312.png
2303,Joey Barton,England,M,19.0,premier_league_data/season_1112/Joey_Barton_2303.png
3681,Sebastien Bassong,Cameroon,D,27.0,premier_league_data/season_1112/Sebastien_Bassong_3681.png
3988,Danny Batth,England,D,15.0,premier_league_data/season_1112/Danny_Batth_3988.png
3608,Jose Baxter,England,F,14.0,
3753,Craig Beattie,Scotland,F,29.0,
