player_id,name,nationality,position,shirt_number,image_path
19589,Jan Bednarek,Poland,D,35.0,premier_league_data/season_1718/Jan_Bednarek_19589.png
2537,Asmir Begovic,Bosnia & Herzegovina,G,31.0,premier_league_data/season_1718/Asmir_Begovic_2537.png
3765,Valon Behrami,Switzerland,M,11.0,premier_league_data/season_1718/Valon_Behrami_3765.png
4474,Héctor Bellerín,Spain,D,2.0,premier_league_data/season_1718/Héctor_Bellerín_4474.png
20879,Yasin Ben El-Mhanni,England,M,19.0,
13490,Yohan Benalouane,Tunisia,D,29.0,premier_league_data/season_1718/Yohan_Benalouane_13490.png
5575,Benjamin Mendy,France,D,5.0,premier_league_data/season_1718/Benjamin_Mendy_5575.png
4492,Christian Benteke,Belgium,F,20.0,premier_league_data/season_1718/Christian_Benteke_4492.png
4205,Saido Berahino,Burundi,F,24.0,premier_league_data/season_1718/Saido_Berahino_4205.png
6215,Steven Berghuis,Netherlands,F,23.0,premier_league_data/season_1718/Steven_Berghuis_6215.png
5067,Bernardo Silva,Portugal,M,20.0,premier_league_data/season_1718/Bernardo_Silva_5067.png
2886,Ryan Bertrand,England,D,5.0,premier_league_data/season_1718/Ryan_Bertrand_2886.png
10451,Muhamed Besic,Bosnia & Herzegovina,M,5.0,premier_league_data/season_1718/Muhamed_Besic_10451.png
10426,Krystian Bielik,Poland,D,6.0,premier_league_data/season_1718/Krystian_Bielik_10426.png
8882,Philip Billing,Denmark,M,29.0,premier_league_data/season_1718/Philip_Billing_8882.png
19655,Mark Birighitti,Australia,G,19.0,premier_league_data/season_1718/Mark_Birighitti_19655.png
13231,Henrik Bjørdal,Norway,F,20.0,
4888,Daley Blind,Netherlands,D,17.0,premier_league_data/season_1718/Daley_Blind_4888.png
4769,Hiram Boateng,England,M,44.0,premier_league_data/season_1718/Hiram_Boateng_4769.png
10441,Jérémie Boga,Cote D’Ivoire,F,7.0,premier_league_data/season_1718/Jérémie_Boga_10441.png
3348,Ádám Bogdán,Hungary,G,1.0,premier_league_data/season_1718/Ádám_Bogdán_3348.png
4898,Bojan,Spain,F,15.0,premier_league_data/season_1718/Bojan_4898.png
4763,Yannick Bolasie,DR Congo,F,17.0,premier_league_data/season_1718/Yannick_Bolasie_4763.png
5721,Gaëtan Bong,Cameroon,D,6.0,premier_league_data/season_1718/Gaëtan_Bong_5721.png
