height,market_value,full_name,preferred_foot,primary_position,shirt,assists,goals,matches,minutes_played,rating,red_cards,started,yellow_cards
,,Ben Winterburn,Right,DM,47,0,0,4,22,6.43,0,0,0
175,€24M,Justin Kluivert,Right,AM,19,6,12,34,"2,356",7.14,0,29,8
173,€8.5M,David Brooks,Left,RW,7,0,2,29,949,6.58,0,9,3
186,€45K,Michael DaCosta,,N/A,,,,,,,,,
177,€25M,Dango Ouattara,Left,RW,11,4,7,32,"2,006",7.12,0,21,3
178,€25M,Marcus Tavernier,Left,RW,16,5,3,29,"1,938",7.05,0,20,6
172,€20M,Luis Sinisterra,Right,LW,17,1,1,12,230,6.76,0,1,0
185,€36M,Antoine Semenyo,Right,RW,24,5,11,37,"3,209",7.27,0,36,9
183,€9.1M,Jaidon Anthony,Right,LM,32,0,0,3,153,6.24,0,2,1
,€20K,Remy Rees-Dottin,Right,N/A,51,0,0,1,1,,0,0,0
183,€37M,Evanilson,Both,ST,9,1,10,31,"2,335",7.00,1,28,1
190,€1.3M,Daniel Jebbison,Left,ST,21,0,1,16,105,6.08,0,0,1
185,€20M,Enes Ünal,Right,ST,26,1,2,17,331,6.17,0,2,2
196,€20M,Kristoffer Vassbakk Ajer,Right,RB,20,0,0,24,"1,441",6.59,0,17,5
179,€20M,Michael Kayode,Right,RB,33,1,0,12,528,7.18,0,6,2
189,€20M,Sepp van den Berg,Right,RB,4,0,0,31,"2,588",6.59,0,29,3
187,€15M,Ethan Pinnock,Left,CB,5,0,2,22,"1,913",6.68,0,21,2
180,€1.3M,Ben Mee,Left,CB,16,0,0,7,181,6.42,0,2,2
193,€22M,Nathan Collins,Right,CB,22,3,2,38,"3,420",6.95,0,38,5
189,€550K,Ji-Soo Kim,Both,CB,36,0,0,3,28,5.97,0,0,0
170,€25M,Rico Henry,Left,LB,3,0,0,5,94,6.16,0,0,0
170,€20M,Keane Lewis-Potter,Right,LB,23,3,1,38,"3,101",6.86,0,36,7
185,€23M,Christian Nørgaard,Right,DM,6,4,5,34,"2,829",7.24,1,34,8
176,€14M,Yegor Yarmolyuk,Both,DM,18,0,0,31,"1,442",6.66,0,15,6
184,€25M,Vitaly Janelt,Left,LB,27,3,1,32,"2,266",6.72,0,27,3
173,€25M,Mathias Jensen,Right,DM,8,2,0,24,852,6.65,0,8,2
181,€3M,Yunus Emre Konak,Right,CM,26,0,0,10,36,6.02,0,0,0
170,€300K,Ryan Trevitt,Right,CM,28,0,0,1,3,,0,0,0
184,,Edmond-Paris Maghoma,Right,CM,32,0,0,8,112,6.21,0,0,0
188,€500K,Jayden Meghoma,Left,LB,,0,0,1,4,,0,0,0
185,€24M,Aaron Hickey,Both,LM,2,0,0,9,720,6.59,0,9,5
180,€14M,Mikkel Damsgaard,Right,CM,24,10,2,38,"2,926",7.24,0,34,2
180,€650K,Michael Olakigbe,,RW,,0,0,8,51,6.16,0,0,0
187,€730K,Myles Peart-Harris,Right,LM,,0,0,3,11,,0,0,0
171,€45M,Bryan Mbeumo,Left,RW,19,7,20,38,"3,415",7.57,0,38,3
183,€26M,Kevin Schade,Right,LW,7,2,11,38,"2,301",6.95,0,26,3
170,€15M,Fabio Carvalho,Right,AM,14,1,2,19,446,6.66,0,3,1
173,€9M,Gustavo Gomes,Right,LW,39,0,0,3,11,,0,0,0
191,€30M,Thiago Rodrigues,Right,ST,9,0,0,8,168,6.42,0,1,0
180,€13M,Joshua Dasilva,Left,ST,10,0,0,3,23,6.18,0,0,0
180,€28M,Yoane Wissa,Right,LW,11,4,19,35,"2,927",7.27,0,34,5
180,€20M,Kenny Tete,Right,RB,2,2,0,22,"1,779",7.05,0,21,5
185,€22M,Timothy Castagne,Right,RB,21,1,0,24,"1,643",6.81,0,17,1
185,€20M,Calvin Bassey,Left,CB,3,0,1,35,"3,074",6.90,0,34,7
188,€37M,Joachim Andersen,Right,CB,5,0,0,30,"2,663",6.94,1,30,7
190,€6.5M,Jorge Cuenca,Left,CB,15,0,0,8,350,6.60,0,4,0
