player_id,name,nationality,position,shirt_number,image_path
9943,Almen Abdi,Switzerland,M,22.0,premier_league_data/season_1617/Almen_Abdi_9943.png
13286,Tammy Abraham,England,F,90.0,premier_league_data/season_1617/Tammy_Abraham_13286.png
4081,Charlie Adam,Scotland,M,,premier_league_data/season_1617/Charlie_Adam_4081.png
13549,Tosin Adarabioyo,England,D,4.0,premier_league_data/season_1617/Tosin_Adarabioyo_13549.png
2845,Emmanuel Adebayor,Togo,F,10.0,premier_league_data/season_1617/Emmanuel_Adebayor_2845.png
9131,Albert Adomah,Ghana,D,37.0,premier_league_data/season_1617/Albert_Adomah_9131.png
4852,Adrián,Spain,G,13.0,premier_league_data/season_1617/Adrián_4852.png
4968,Ibrahim Afellay,Netherlands,M,17.0,premier_league_data/season_1617/Ibrahim_Afellay_4968.png
4040,Benik Afobe,DR Congo,F,7.0,premier_league_data/season_1617/Benik_Afobe_4040.png
13569,Michael Agazzi,Italy,G,25.0,
4328,Sergio Agüero,Argentina,F,19.0,premier_league_data/season_1617/Sergio_Agüero_4328.png
10559,Daniel Agyei,England,F,7.0,premier_league_data/season_1617/Daniel_Agyei_10559.png
4183,Ahmed El Mohamady,Egypt,D,27.0,premier_league_data/season_1617/Ahmed_El_Mohamady_4183.png
10439,Ola Aina,Nigeria,D,34.0,premier_league_data/season_1617/Ola_Aina_10439.png
4499,Nathan Aké,Netherlands,D,6.0,premier_league_data/season_1617/Nathan_Aké_4499.png
4482,Chuba Akpom,England,F,24.0,premier_league_data/season_1617/Chuba_Akpom_4482.png
3564,Marc Albrighton,England,M,22.0,premier_league_data/season_1617/Marc_Albrighton_3564.png
4916,Toby Alderweireld,Belgium,D,23.0,premier_league_data/season_1617/Toby_Alderweireld_4916.png
14732,Trent Alexander-Arnold,England,D,66.0,premier_league_data/season_1617/Trent_Alexander-Arnold_14732.png
13984,Allan,Brazil,M,28.0,
4413,Joe Allen,Wales,M,7.0,premier_league_data/season_1617/Joe_Allen_4413.png
9167,Dele Alli,England,M,11.0,premier_league_data/season_1617/Dele_Alli_9167.png
3732,Ryan Allsop,England,G,21.0,premier_league_data/season_1617/Ryan_Allsop_3732.png
4093,Marcos Alonso,Spain,D,20.0,premier_league_data/season_1617/Marcos_Alonso_4093.png
14743,Paulo Alves,Portugal,M,,
12306,Daniel Amartey,Ghana,D,12.0,premier_league_data/season_1617/Daniel_Amartey_12306.png
4835,Jordi Amat,Indonesia,D,5.0,premier_league_data/season_1617/Jordi_Amat_4835.png
5602,Marco Amelia,Italy,G,32.0,
15128,Luke Amos,England,M,8.0,premier_league_data/season_1617/Luke_Amos_15128.png
5490,Nordin Amrabat,Morocco,F,37.0,premier_league_data/season_1617/Nordin_Amrabat_5490.png
10475,Ander Herrera,Spain,M,21.0,premier_league_data/season_1617/Ander_Herrera_10475.png
8234,Tom Anderson,England,D,4.0,premier_league_data/season_1617/Tom_Anderson_8234.png
12512,Andrea Ranocchia,Italy,D,13.0,premier_league_data/season_1617/Andrea_Ranocchia_12512.png
10476,Andreas Pereira,Brazil,M,18.0,premier_league_data/season_1617/Andreas_Pereira_10476.png
10467,Angeliño,Spain,D,3.0,premier_league_data/season_1617/Angeliño_10467.png
2905,Victor Anichebe,Nigeria,F,28.0,premier_league_data/season_1617/Victor_Anichebe_2905.png
9595,Michail Antonio,Jamaica,F,,premier_league_data/season_1617/Michail_Antonio_9595.png
9950,Ikechi Anya,Scotland,M,,premier_league_data/season_1617/Ikechi_Anya_9950.png
3127,Álvaro Arbeloa,Spain,D,5.0,premier_league_data/season_1617/Álvaro_Arbeloa_3127.png
8242,Scott Arfield,Canada,M,37.0,premier_league_data/season_1617/Scott_Arfield_8242.png
7175,Giedrius Arlauskis,Lithuania,G,87.0,premier_league_data/season_1617/Giedrius_Arlauskis_7175.png
4823,Marko Arnautovic,Austria,F,8.0,premier_league_data/season_1617/Marko_Arnautovic_4823.png
8050,Harry Arter,Ireland,M,,premier_league_data/season_1617/Harry_Arter_8050.png
2704,Mikel Arteta,Spain,M,8.0,premier_league_data/season_1617/Mikel_Arteta_2704.png
15079,Joel Asoro,Sweden,F,99.0,premier_league_data/season_1617/Joel_Asoro_15079.png
4859,Christian Atsu,Ghana,M,,premier_league_data/season_1617/Christian_Atsu_4859.png
9468,Charlie Austin,England,F,32.0,premier_league_data/season_1617/Charlie_Austin_9468.png
3901,Daniel Ayala,Spain,D,4.0,premier_league_data/season_1617/Daniel_Ayala_3901.png
5595,Jordan Ayew,Ghana,F,18.0,premier_league_data/season_1617/Jordan_Ayew_5595.png
4496,César Azpilicueta,Spain,D,3.0,premier_league_data/season_1617/César_Azpilicueta_4496.png
13279,Abdul Baba,Ghana,D,21.0,premier_league_data/season_1617/Abdul_Baba_13279.png
9762,Daniel Bachmann,Austria,G,35.0,premier_league_data/season_1617/Daniel_Bachmann_9762.png
12937,Eric Bailly,Cote D’Ivoire,D,4.0,premier_league_data/season_1617/Eric_Bailly_12937.png
3030,Leighton Baines,England,D,3.0,premier_league_data/season_1617/Leighton_Baines_3030.png
4749,Lewis Baker,Jamaica,M,,premier_league_data/season_1617/Lewis_Baker_4749.png
8457,Courtney Baker-Richardson,England,F,9.0,
4152,Mario Balotelli,Italy,F,9.0,premier_league_data/season_1617/Mario_Balotelli_4152.png
4291,Patrick Bamford,England,F,,premier_league_data/season_1617/Patrick_Bamford_4291.png
