name,position,aerial_duels_won_percentile,chances_created_percentile,defensive_actions_percentile,goals_percentile,shot_attempts_percentile,touches_percentile
Cameron Burgess,CB,81%,83%,58%,0%,60%,37%
Jacob Greaves,CB,94%,48%,84%,52%,34%,18%
Dara O'Shea,CB,94%,48%,77%,33%,79%,23%
Ben Godfrey,CB,85%,20%,15%,0%,18%,11%
Leif Davis,LB,68%,99%,26%,50%,42%,10%
Conor Townsend,LB,92%,96%,74%,0%,38%,36%
Sam Morsy,DM,34%,39%,63%,26%,13%,37%
Kalvin Phillips,DM,41%,15%,93%,41%,26%,59%
Jens-Lys Cajuste,DM,35%,21%,56%,35%,26%,19%
Jack Taylor,DM,43%,27%,68%,75%,95%,29%
Massimo Luongo,CM,13%,4%,76%,0%,42%,80%
Conor Chaplin,AM,33%,8%,43%,37%,48%,31%
Omari Hutchinson,AM,18%,19%,29%,13%,24%,43%
Ben Johnson,RW,83%,10%,100%,6%,1%,37%
Wes Burns,RW,62%,10%,53%,0%,4%,10%
Chiedozie Ogbene,RW,69%,19%,18%,0%,0%,9%
Jaden Philogene-Bidace,RW,34%,5%,98%,49%,43%,15%
Sammie Szmodics,LW,32%,1%,52%,82%,38%,0%
Nathan Broadhead,LW,4%,11%,41%,35%,28%,35%
Jack Clarke,LW,41%,87%,85%,55%,20%,51%
Ali Al Hamadi,ST,64%,18%,87%,18%,26%,45%
Marcus Harness,ST,56%,50%,100%,5%,3%,83%
George Hirst,ST,90%,20%,79%,65%,35%,30%
Ronnie Edwards,CB,55%,44%,80%,87%,75%,41%
Jack Stephens,CB,0%,33%,33%,76%,17%,68%
Taylor Harwood-Bellis,CB,52%,88%,46%,93%,80%,91%
James Bree,CB,7%,98%,1%,94%,25%,62%
Nathan Wood,CB,35%,9%,35%,0%,17%,76%
Jan Bednarek,CB,75%,16%,95%,59%,19%,67%
Armel Bella-Kotchap,CB,65%,0%,38%,0%,31%,91%
Joachim Kayi Sanda,CB,81%,0%,89%,0%,36%,76%
Charlie Taylor,LB,81%,36%,97%,0%,0%,97%
Welington,LB,85%,27%,75%,0%,48%,29%
Kyle Walker-Peters,RWB,6%,40%,18%,0%,59%,53%
Ryan Manning,LWB,45%,97%,44%,0%,69%,26%
Shea Charles,CM,78%,80%,76%,22%,25%,52%
Flynn Downes,CM,43%,26%,88%,34%,10%,38%
Joe Aribo,CM,71%,24%,25%,63%,23%,45%
William Smallbone,CM,20%,58%,51%,56%,30%,30%
Adam Lallana,CM,26%,74%,28%,0%,78%,93%
Yukinari Sugawara,RM,4%,78%,47%,84%,75%,54%
Mateus Fernandes,AM,50%,34%,93%,8%,14%,82%
Albert Grønbæk,AM,55%,62%,66%,30%,67%,42%
Tyler Dibling,RW,39%,17%,78%,29%,24%,37%
Ben Brereton Diaz,RW,94%,16%,56%,46%,52%,10%
Ryan Fraser,LW,53%,2%,72%,0%,3%,21%
Adam Armstrong,ST,7%,16%,33%,16%,21%,24%
Ross Stewart,ST,76%,12%,96%,100%,99%,96%
Cameron Archer,ST,10%,1%,29%,21%,19%,15%
Kamaldeen Sulemana,ST,21%,33%,73%,4%,17%,84%
Paul Onuachu,ST,99%,19%,91%,29%,70%,81%
