name,position,aerial_duels_won_percentile,chances_created_percentile,defensive_actions_percentile,goals_percentile,shot_attempts_percentile,touches_percentile
Marc Guiu,ST,7%,60%,15%,89%,88%,21%
Kieran Trippier,RB,87%,91%,59%,0%,15%,98%
Valentino Livramento,RB,38%,57%,28%,0%,6%,58%
Sven Botman,CB,100%,69%,98%,0%,94%,26%
Fabian Schär,CB,39%,66%,59%,97%,98%,58%
Jamaal Lascelles,CB,99%,0%,43%,0%,6%,53%
Emil Krafth,CB,22%,62%,9%,0%,2%,69%
Daniel Burn,CB,98%,58%,58%,55%,78%,47%
Alex Murphy,LB,100%,52%,99%,95%,81%,87%
Harrison Ashby,LB,29%,12%,89%,0%,58%,19%
Jamal Lewis,LB,10%,78%,1%,0%,44%,3%
Lewis Hall,LB,62%,87%,46%,0%,50%,90%
Isaac Hayden,DM,78%,7%,83%,0%,23%,4%
Joelinton,CM,95%,47%,78%,65%,82%,31%
Sandro Tonali,CM,13%,57%,40%,84%,64%,53%
Joseph Willock,CM,12%,91%,31%,82%,88%,9%
Sean Longstaff,CM,67%,5%,42%,74%,46%,31%
Bruno Guimaraes,CM,21%,74%,51%,58%,66%,74%
Joe White,CM,56%,91%,20%,93%,57%,82%
Lewis Miley,CM,78%,48%,57%,97%,22%,85%
Jacob Murphy,RW,16%,51%,30%,71%,39%,49%
Anthony Gordon,LW,23%,70%,27%,66%,59%,57%
Harvey Barnes,LW,27%,31%,13%,86%,92%,26%
Garang Kuol,LW,0%,2%,47%,0%,2%,1%
Callum Wilson,ST,36%,17%,32%,10%,11%,19%
Alexander Isak,ST,18%,94%,8%,93%,87%,77%
William Osula,ST,55%,81%,65%,45%,76%,51%
Matty Cash,RB,48%,17%,51%,70%,82%,13%
Andres Garcia,RB,15%,81%,32%,86%,71%,57%
Lamare Bogarde,RB,50%,4%,60%,0%,1%,69%
Sil Swinkels,CB,96%,99%,100%,99%,86%,38%
Axel Disasi,CB,84%,54%,38%,82%,58%,93%
Ezri Konsa,CB,3%,27%,2%,70%,50%,40%
Tyrone Mings,CB,72%,72%,15%,0%,68%,52%
Pau Torres,CB,4%,23%,2%,0%,39%,52%
Álex Moreno,LB,5%,27%,78%,0%,44%,14%
Lino Sousa,LB,93%,29%,70%,0%,20%,49%
Lucas Digne,LB,73%,89%,53%,0%,44%,38%
Ian Maatsen,LB,45%,81%,56%,93%,98%,84%
Ross Barkley,DM,72%,90%,51%,100%,96%,85%
Youri Tielemans,DM,46%,87%,43%,68%,73%,81%
Amadou Onana,DM,84%,15%,77%,79%,52%,47%
Boubacar Kamara,DM,77%,33%,81%,26%,11%,63%
Kaine Kesler-Hayden,RM,96%,20%,37%,58%,87%,11%
Marco Asensio,AM,4%,83%,10%,91%,88%,59%
Morgan Rogers,AM,34%,45%,42%,58%,39%,30%
Donyell Malen,RW,52%,7%,3%,96%,94%,16%
Leon Bailey,RW,30%,71%,11%,7%,48%,27%
John McGinn,LW,66%,26%,57%,19%,11%,39%
Lewis Dobbin,LW,72%,6%,15%,28%,26%,31%
Marcus Rashford,LW,34%,77%,19%,83%,75%,44%
Jacob Ramsey,LW,29%,32%,45%,26%,19%,35%
Ollie Watkins,ST,47%,64%,12%,63%,68%,13%
Ola Aina,RB,8%,19%,44%,61%,21%,15%
Tyler Bindon,CB,95%,21%,83%,92%,66%,11%
Morato,CB,3%,8%,87%,0%,20%,5%
Murillo,CB,11%,78%,94%,62%,83%,13%
Willy Boly,CB,75%,27%,69%,0%,8%,6%
Nikola Milenkovic,CB,72%,42%,57%,90%,67%,1%
Neco Williams,LB,78%,48%,90%,43%,93%,41%
Harry Toffolo,LB,74%,2%,93%,0%,4%,21%
Ibrahim Sangaré,DM,78%,52%,88%,0%,4%,36%
Elliot Anderson,DM,89%,67%,85%,46%,75%,70%
Nicolás Dominguez,DM,76%,18%,99%,0%,53%,49%
Ryan Yates,DM,95%,43%,95%,79%,80%,25%
Danilo,DM,31%,0%,86%,0%,2%,41%
Morgan Gibbs-White,AM,88%,70%,70%,41%,49%,72%
Josh Bowler,RW,0%,46%,2%,0%,99%,2%
Jota Silva,RW,97%,37%,100%,81%,88%,12%
Anthony Elanga,RW,74%,76%,3%,43%,32%,30%
Joel Ndala,LW,0%,15%,43%,22%,13%,53%
Callum Hudson-Odoi,LW,7%,77%,11%,34%,23%,32%
Ramon Sosa,LW,90%,86%,85%,79%,57%,57%
Taiwo Awoniyi,ST,66%,41%,71%,15%,43%,46%
Chris Wood,ST,76%,13%,6%,91%,20%,2%
Emmanuel Dennis,ST,86%,20%,89%,0%,26%,54%
Odel Offiah,RB,94%,4%,78%,42%,3%,27%
Tariq Lamptey,RB,1%,27%,64%,96%,61%,17%
Mats Wieffer,RB,100%,90%,100%,74%,73%,92%
Joel Veltman,RB,64%,9%,84%,0%,16%,39%
Jack Hinshelwood,RB,62%,43%,16%,96%,84%,31%
Igor,CB,1%,80%,4%,0%,2%,86%
Adam Webster,CB,53%,84%,50%,76%,48%,92%
Lewis Dunk,CB,65%,64%,2%,0%,62%,97%
Eiran Cashin,CB,95%,50%,93%,61%,88%,72%
Jan Paul van Hecke,CB,73%,92%,35%,34%,53%,89%
Ferdi Kadioglu,LB,35%,91%,51%,97%,65%,34%
Pervis Estupinán,LB,88%,77%,45%,42%,85%,74%
James Milner,DM,27%,94%,35%,0%,39%,54%
Carlos Baleba,DM,74%,29%,61%,59%,65%,30%
Diego Gomez,DM,87%,85%,73%,87%,98%,34%
Yasin Ayari,DM,49%,87%,56%,70%,78%,47%
Andrew Moran,AM,49%,43%,95%,21%,7%,43%
Julio Enciso,AM,57%,59%,33%,53%,99%,58%
Georginio Rutter,AM,90%,27%,86%,78%,82%,9%
Matthew O'Riley,AM,32%,98%,35%,89%,99%,39%
Amario Cozier-Duberry,RW,4%,4%,80%,15%,47%,51%
Solly March,RW,69%,24%,100%,0%,4%,73%
Brajan Gruda,RW,49%,99%,78%,13%,29%,65%
Yankuba Minteh,RW,62%,46%,72%,73%,22%,9%
Abdallah Sima,LW,99%,4%,42%,96%,83%,9%
Simon Adingra,LW,33%,47%,28%,64%,61%,19%
Kaoru Mitoma,LW,73%,35%,60%,71%,37%,58%
Joao Pedro,ST,62%,87%,47%,49%,26%,92%
Danny Welbeck,ST,15%,49%,28%,55%,57%,53%
Adam Smith,RB,56%,13%,26%,0%,4%,2%
Julian Araujo,RB,24%,2%,55%,0%,0%,8%
James Hill,RB,100%,37%,100%,0%,86%,52%
Marcos Senesi,CB,86%,85%,89%,0%,36%,77%
Chris Mepham,CB,90%,68%,91%,37%,27%,58%
Illia Zabarnyi,CB,43%,73%,48%,52%,20%,33%
Matai Akinmboni,CB,1%,84%,56%,0%,0%,9%
Milos Kerkez,LB,41%,51%,37%,56%,44%,24%
Julio Soler,LB,43%,41%,50%,0%,62%,50%
Lewis Cook,DM,71%,78%,77%,23%,10%,41%
Alex Scott,DM,43%,80%,77%,0%,81%,53%
Ryan Christie,DM,64%,80%,76%,57%,68%,39%
Tyler Adams,DM,74%,45%,96%,0%,9%,59%
Justin Kluivert,AM,30%,66%,59%,87%,73%,28%
David Brooks,RW,64%,88%,39%,42%,79%,67%
Dango Ouattara,LW,96%,42%,71%,84%,81%,13%
Marcus Tavernier,LW,83%,82%,69%,16%,78%,81%
Luis Sinisterra,LW,83%,98%,97%,97%,98%,79%
Antoine Semenyo,LW,94%,24%,80%,76%,94%,43%
Jaidon Anthony,LW,44%,80%,67%,39%,67%,74%
Evanilson,ST,51%,53%,43%,56%,65%,5%
Daniel Jebbison,ST,36%,90%,79%,45%,30%,54%
Enes Ünal,ST,98%,67%,66%,49%,100%,90%
Kristoffer Vassbakk Ajer,RB,88%,5%,25%,54%,38%,14%
Michael Kayode,RB,85%,73%,60%,0%,47%,35%
Sepp van den Berg,CB,92%,38%,43%,0%,70%,27%
Ethan Pinnock,CB,83%,75%,81%,79%,54%,48%
Ben Mee,CB,95%,26%,47%,0%,8%,95%
Nathan Collins,CB,92%,59%,75%,53%,41%,40%
Rico Henry,LB,62%,53%,46%,0%,21%,8%
Keane Lewis-Potter,LB,33%,45%,8%,65%,83%,3%
Christian Nørgaard,DM,86%,31%,90%,79%,58%,52%
Yegor Yarmolyuk,DM,18%,23%,71%,0%,19%,56%
Vitaly Janelt,DM,52%,19%,42%,30%,14%,23%
Mathias Jensen,CM,44%,91%,15%,54%,41%,74%
Yunus Emre Konak,CM,80%,26%,100%,0%,4%,42%
Ryan Trevitt,CM,75%,72%,20%,53%,83%,18%
Edmond-Paris Maghoma,CM,42%,72%,43%,0%,93%,70%
Jayden Meghoma,LM,4%,5%,54%,0%,3%,6%
Aaron Hickey,LM,3%,4%,9%,0%,63%,1%
Mikkel Damsgaard,AM,33%,72%,84%,7%,6%,88%
Michael Olakigbe,RW,6%,66%,13%,10%,34%,15%
Myles Peart-Harris,RW,92%,14%,48%,24%,15%,25%
Bryan Mbeumo,RW,72%,64%,40%,93%,45%,36%
Kevin Schade,LW,100%,10%,55%,88%,46%,5%
Fabio Carvalho,LW,50%,9%,71%,89%,74%,51%
Gustavo Gomes,LW,18%,18%,40%,84%,23%,69%
Thiago Rodrigues,ST,92%,82%,99%,11%,5%,80%
Joshua Dasilva,ST,0%,73%,9%,86%,67%,55%
Yoane Wissa,ST,20%,46%,27%,75%,59%,28%
Kenny Tete,RB,80%,11%,98%,0%,93%,47%
Timothy Castagne,RB,97%,31%,72%,46%,31%,60%
Calvin Bassey,CB,14%,10%,6%,58%,34%,64%
Joachim Andersen,CB,73%,34%,71%,34%,86%,91%
Jorge Cuenca,CB,59%,0%,69%,0%,87%,69%
Issa Diop,CB,25%,47%,28%,0%,52%,42%
Ryan Sessegnon,LB,67%,94%,97%,100%,99%,67%
Antonee Robinson,LB,83%,84%,89%,0%,42%,80%
Harrison Reed,DM,4%,61%,62%,0%,74%,66%
Tom Cairney,DM,68%,46%,50%,43%,13%,100%
Sander Berge,DM,77%,36%,47%,0%,1%,66%
Andreas Pereira,DM,39%,100%,6%,75%,88%,30%
Sasa Lukic,DM,53%,49%,78%,0%,29%,48%
Luke Harris,AM,72%,3%,77%,42%,7%,8%
Emile Smith Rowe,AM,26%,13%,44%,51%,27%,73%
Harry Wilson,RW,42%,68%,65%,95%,91%,62%
Adama Traoré,RW,85%,85%,17%,11%,37%,31%
Alex Iwobi,LW,13%,52%,26%,45%,39%,71%
Reiss Nelson,LW,30%,74%,37%,50%,40%,87%
Willian,LW,51%,95%,28%,0%,44%,96%
Martial Godo,LW,2%,33%,37%,28%,41%,46%
Raul Jiménez,ST,84%,61%,86%,79%,82%,82%
Rodrigo Muniz,ST,98%,24%,76%,93%,91%,41%
Carlos Vinicius,ST,40%,72%,70%,72%,65%,8%
Joel Ward,CB,29%,0%,83%,0%,7%,3%
Maxence Lacroix,CB,41%,44%,91%,57%,89%,16%
Marc Guehi,CB,61%,86%,23%,65%,39%,68%
Nathaniel Clyne,CB,0%,95%,2%,0%,13%,9%
Chris Richards,CB,68%,18%,62%,36%,48%,35%
Chadi Riad,CB,31%,0%,4%,99%,28%,80%
Daniel Munoz,RWB,85%,81%,87%,93%,74%,32%
Tyrick Mitchell,LWB,29%,73%,48%,33%,22%,16%
Ben Chilwell,LWB,74%,90%,87%,0%,85%,98%
Jefferson Lerma,DM,95%,4%,75%,37%,62%,44%
Will Hughes,DM,56%,78%,91%,0%,43%,32%
Adam Wharton,DM,29%,82%,66%,0%,41%,51%
Cheick Oumar Doucouré,DM,52%,1%,80%,0%,69%,37%
David Ozoh,CM,39%,2%,84%,62%,28%,7%
Justin Devenny,CM,21%,65%,24%,90%,86%,19%
Ismaila Sarr,AM,84%,37%,23%,74%,42%,6%
Eberechi Eze,AM,24%,82%,18%,82%,94%,68%
Daichi Kamada,AM,14%,76%,45%,80%,67%,54%
Malcolm Ebiowei,AM,21%,58%,26%,0%,97%,56%
Jesurun Rak-Sakyi,RW,69%,55%,71%,79%,69%,22%
Romain Esse,RW,86%,33%,94%,47%,21%,46%
Matheus Franca,LW,77%,53%,69%,0%,71%,48%
Luke Plange,ST,4%,1%,1%,7%,1%,1%
Edward Nketiah,ST,59%,40%,96%,48%,88%,89%
Jean-Philippe Mateta,ST,61%,34%,26%,73%,50%,9%
Jake O'Brien,RB,99%,7%,65%,78%,32%,14%
Ashley Young,RB,15%,74%,81%,57%,26%,28%
Seamus Coleman,RB,15%,5%,4%,0%,41%,16%
Mason Holgate,CB,47%,86%,64%,49%,29%,43%
Michael Keane,CB,66%,75%,57%,100%,95%,3%
James Tarkowski,CB,91%,92%,97%,41%,49%,11%
Jarrad Branthwaite,CB,60%,19%,82%,0%,24%,13%
Tyler Onyango,CB,14%,78%,49%,0%,26%,21%
Vitaliy Mykolenko,LB,77%,42%,70%,41%,26%,9%
Nathan Patterson,RWB,51%,92%,55%,0%,16%,87%
Orel Mangala,DM,17%,13%,49%,38%,52%,18%
Idrissa Gana Gueye,DM,40%,40%,76%,0%,34%,35%
James Garner,DM,32%,29%,72%,0%,34%,44%
Tim Iroegbunam,DM,81%,34%,100%,0%,54%,18%
Dwight McNeil,AM,39%,93%,4%,63%,36%,64%
Abdoulaye Doucouré,AM,81%,16%,75%,18%,9%,19%
Youssef Chermiti,AM,89%,5%,88%,8%,74%,36%
Jack Harrison,RW,17%,49%,58%,3%,16%,29%
Jesper Lindstrøm,RW,28%,51%,93%,0%,41%,46%
Carlos Alcaraz,LW,89%,76%,84%,57%,90%,80%
Iliman Ndiaye,LW,25%,6%,60%,69%,19%,31%
Dominic Calvert-Lewin,ST,93%,2%,71%,14%,70%,44%
Beto,ST,93%,20%,78%,56%,41%,33%
Vladimir Coufal,RB,79%,90%,57%,0%,24%,65%
Aaron Wan-Bissaka,RB,32%,63%,77%,62%,27%,56%
Aaron Cresswell,CB,2%,100%,11%,0%,69%,74%
Konstantinos Mavropanos,CB,82%,31%,75%,0%,86%,58%
Jean-Clair Todibo,CB,19%,19%,55%,0%,22%,41%
Max Kilman,CB,88%,86%,70%,0%,30%,35%
Emerson,LB,38%,36%,63%,79%,60%,21%
Oliver Scarles,LWB,55%,1%,94%,0%,6%,61%
James Ward-Prowse,DM,51%,85%,24%,45%,36%,73%
Edson Álvarez,DM,82%,9%,89%,0%,29%,63%
Guido Rodriguez,DM,54%,2%,91%,0%,20%,38%
Tomas Soucek,DM,99%,37%,84%,91%,87%,13%
Andy Irving,CM,61%,45%,59%,100%,100%,92%
George Earthy,AM,3%,42%,4%,95%,98%,5%
Carlos Soler,AM,58%,14%,77%,13%,30%,66%
Lucas Paquetá,AM,95%,35%,98%,32%,28%,96%
Luis Guilherme,AM,48%,95%,1%,88%,99%,32%
Mohammed Kudus,AM,31%,20%,32%,25%,79%,36%
