match_id,season_id,date,home_team,away_team,home_score,away_score,status,stadium,attendance
7532,20,"Sun 2 Oct 2011, 13:30 BST",27,4,1,5,C,Toughsheet Community Stadium,24657
7533,20,"Sun 2 Oct 2011, 15:00 BST",34,17,6,0,C,Craven Cottage,23766
7534,20,"Sun 2 Oct 2011, 15:00 BST",45,42,2,0,C,Liberty Stadium,19523
7535,20,"Sun 2 Oct 2011, 16:00 BST",21,1,2,1,C,White Hart Lane,36274
7537,20,"Sat 15 Oct 2011, 12:45 BST",10,12,1,1,C,Anfield,45065
7538,20,"Sat 15 Oct 2011, 15:00 BST",11,2,4,1,C,Etihad Stadium,47019
7539,20,"Sat 15 Oct 2011, 15:00 BST",14,45,3,1,C,Carrow Road,26567
7540,20,"Sat 15 Oct 2011, 15:00 BST",17,3,1,1,C,Kiyan Prince Foundation Stadium,16487
7541,20,"Sat 15 Oct 2011, 15:00 BST",42,34,2,0,C,bet365 Stadium,26890
7542,20,"Sat 15 Oct 2011, 15:00 BST",39,27,1,3,C,DW Stadium,17261
7536,20,"Sat 15 Oct 2011, 17:30 BST",4,7,3,1,C,Stamford Bridge,41789
7545,20,"Sun 16 Oct 2011, 12:00 BST",36,38,2,0,C,The Hawthorns,24872
7543,20,"Sun 16 Oct 2011, 13:30 BST",1,29,2,1,C,Emirates Stadium,60078
7544,20,"Sun 16 Oct 2011, 16:00 BST",23,21,2,2,C,St James' Park,46420
7550,20,"Sat 22 Oct 2011, 12:45 BST",38,45,2,2,C,Molineux Stadium,25216
7546,20,"Sat 22 Oct 2011, 15:00 BST",2,36,1,2,C,Villa Park,34152
7547,20,"Sat 22 Oct 2011, 15:00 BST",27,29,0,2,C,Toughsheet Community Stadium,24349
7549,20,"Sat 22 Oct 2011, 15:00 BST",23,39,1,0,C,St James' Park,48321
7548,20,"Sat 22 Oct 2011, 17:30 BST",10,14,1,1,C,Anfield,44931
7551,20,"Sun 23 Oct 2011, 13:30 BST",1,42,3,1,C,Emirates Stadium,59671
