match_id,season_id,date,home_team,away_team,home_score,away_score,status,stadium,attendance
74911,489,"Fri 5 Aug 2022, 20:00 BST",6,1,0,2,C,Selhurst Park,25286
74914,489,"Sat 6 Aug 2022, 12:30 BST",34,10,2,2,C,Craven Cottage,25000
74912,489,"Sat 6 Aug 2022, 15:00 BST",127,2,2,0,C,Vitality Stadium,10000
74915,489,"Sat 6 Aug 2022, 15:00 BST",9,38,2,1,C,Elland Road,36347
74917,489,"Sat 6 Aug 2022, 15:00 BST",23,15,2,0,C,St. James' Park,52245
74918,489,"Sat 6 Aug 2022, 15:00 BST",21,20,4,1,C,Tottenham Hotspur Stadium,61732
74913,489,"Sat 6 Aug 2022, 17:30 BST",7,4,0,1,C,Goodison Park,39254
74916,489,"Sun 7 Aug 2022, 14:00 BST",26,130,2,2,C,King Power Stadium,31794
74919,489,"Sun 7 Aug 2022, 14:00 BST",12,131,1,2,C,Old Trafford,73711
74920,489,"Sun 7 Aug 2022, 16:30 BST",25,11,0,2,C,London Stadium,62443
74922,489,"Sat 13 Aug 2022, 12:30 BST",2,7,2,1,C,Villa Park,41883
74921,489,"Sat 13 Aug 2022, 15:00 BST",1,26,4,2,C,Emirates Stadium,60033
74924,489,"Sat 13 Aug 2022, 15:00 BST",131,23,0,0,C,American Express Stadium,31552
74927,489,"Sat 13 Aug 2022, 15:00 BST",11,127,4,0,C,Etihad Stadium,53453
74929,489,"Sat 13 Aug 2022, 15:00 BST",20,9,2,2,C,St. Mary's Stadium,30815
74930,489,"Sat 13 Aug 2022, 15:00 BST",38,34,0,0,C,Molineux Stadium,31178
74923,489,"Sat 13 Aug 2022, 17:30 BST",130,12,4,0,C,Gtech Community Stadium,17051
74928,489,"Sun 14 Aug 2022, 14:00 BST",15,25,1,0,C,The City Ground,29281
74925,489,"Sun 14 Aug 2022, 16:30 BST",4,21,2,2,C,Stamford Bridge,39946
74926,489,"Mon 15 Aug 2022, 20:00 BST",10,6,1,1,C,Anfield,52970
74939,489,"Sat 20 Aug 2022, 12:30 BST",21,38,1,0,C,Tottenham Hotspur Stadium,61298
74932,489,"Sat 20 Aug 2022, 15:00 BST",6,2,3,1,C,Selhurst Park,22012
74933,489,"Sat 20 Aug 2022, 15:00 BST",7,15,1,1,C,Goodison Park,39271
74934,489,"Sat 20 Aug 2022, 15:00 BST",34,130,3,2,C,Craven Cottage,21798
74936,489,"Sat 20 Aug 2022, 15:00 BST",26,20,1,2,C,King Power Stadium,30850
74931,489,"Sat 20 Aug 2022, 17:30 BST",127,1,0,3,C,Vitality Stadium,10423
74935,489,"Sun 21 Aug 2022, 14:00 BST",9,4,3,0,C,Elland Road,36372
74940,489,"Sun 21 Aug 2022, 14:00 BST",25,131,0,2,C,London Stadium,62449
74938,489,"Sun 21 Aug 2022, 16:30 BST",23,11,3,3,C,St. James' Park,52258
74937,489,"Mon 22 Aug 2022, 20:00 BST",12,10,2,1,C,Old Trafford,
74949,489,"Sat 27 Aug 2022, 12:30 BST",20,12,0,1,C,St. Mary's Stadium,31196
74943,489,"Sat 27 Aug 2022, 15:00 BST",130,7,1,1,C,Gtech Community Stadium,17009
74944,489,"Sat 27 Aug 2022, 15:00 BST",131,9,1,0,C,American Express Stadium,30953
74945,489,"Sat 27 Aug 2022, 15:00 BST",4,26,2,1,C,Stamford Bridge,39953
